cancer_site,state,year,count,population,crude_rate_100k
I Leukemia,Utah,2003,37,829424,4.46
I Leukemia,Virginia,2003,83,1994268,4.16
I Leukemia,Washington,2003,62,1686857,3.6799999999999997
I Leukemia,Wisconsin,2003,73,1526736,4.78
I Leukemia,Alabama,2004,43,1244847,3.45
I Leukemia,Arizona,2004,75,1643951,4.5600000000000005
I Leukemia,Arkansas,2004,25,761182,3.28
I Leukemia,California,2004,556,10443725,5.32
I Leukemia,Colorado,2004,55,1278974,4.3
I Leukemia,Connecticut,2004,44,943246,4.66
I Leukemia,Florida,2004,171,4338695,3.94
I Leukemia,Georgia,2004,103,2563023,4.0200000000000005
I Leukemia,Hawaii,2004,17,331052,5.140000000000001
I Leukemia,Idaho,2004,19,429860,4.420000000000001
I Leukemia,Illinois,2004,191,3571714,5.3500000000000005
I Leukemia,Indiana,2004,72,1773433,4.0600000000000005
I Leukemia,Iowa,2004,31,812234,3.8200000000000003
I Leukemia,Kansas,2004,33,791308,4.170000000000001
I Leukemia,Kentucky,2004,50,1113460,4.49
I Leukemia,Louisiana,2004,55,1326027,4.15
I Leukemia,Maryland,2004,55,1533272,3.59
I Leukemia,Massachusetts,2004,73,1668500,4.38
I Leukemia,Michigan,2004,125,2847180,4.39
I Leukemia,Minnesota,2004,79,1434533,5.510000000000001
I Leukemia,Mississippi,2004,20,852530,2.35
I Leukemia,Missouri,2004,55,1590304,3.4600000000000004
I Leukemia,Montana,2004,16,251286,6.370000000000001
I Leukemia,Nebraska,2004,25,503876,4.960000000000001
I Leukemia,Nevada,2004,37,647180,5.720000000000001
I Leukemia,New Hampshire,2004,21,346853,6.050000000000001
I Leukemia,New Jersey,2004,115,2336900,4.920000000000001
I Leukemia,New Mexico,2004,32,560713,5.710000000000001
I Leukemia,New York,2004,232,5110669,4.54
I Leukemia,North Carolina,2004,94,2330717,4.03
I Leukemia,Ohio,2004,146,3160151,4.62
I Leukemia,Oklahoma,2004,38,990091,3.84
I Leukemia,Oregon,2004,44,945880,4.65
I Leukemia,Pennsylvania,2004,135,3235436,4.170000000000001
I Leukemia,Rhode Island,2004,18,283300,6.3500000000000005
I Leukemia,South Carolina,2004,56,1158386,4.83
I Leukemia,Tennessee,2004,99,1594363,6.210000000000001
I Leukemia,Texas,2004,357,6893798,5.18
I Leukemia,Utah,2004,35,839214,4.170000000000001
I Leukemia,Virginia,2004,81,2018321,4.010000000000001
I Leukemia,Washington,2004,81,1695630,4.78
I Leukemia,West Virginia,2004,17,441555,3.85
I Leukemia,Wisconsin,2004,57,1523677,3.74
I Leukemia,Alabama,2005,35,1247558,2.8100000000000005
I Leukemia,Arizona,2005,91,1693743,5.370000000000001
I Leukemia,Arkansas,2005,27,767761,3.5200000000000005
I Leukemia,California,2005,519,10441553,4.970000000000001
I Leukemia,Colorado,2005,52,1289504,4.03
I Leukemia,Connecticut,2005,51,939226,5.43
I Leukemia,Florida,2005,180,4426511,4.07
I Leukemia,Georgia,2005,92,2610593,3.5200000000000005
I Leukemia,Hawaii,2005,16,331125,4.83
I Leukemia,Idaho,2005,16,439230,3.64
I Leukemia,Illinois,2005,160,3552913,4.5
I Leukemia,Indiana,2005,86,1780255,4.83
I Leukemia,Iowa,2005,35,809750,4.32
I Leukemia,Kansas,2005,35,789469,4.43
I Leukemia,Kentucky,2005,54,1119269,4.82
I Leukemia,Louisiana,2005,48,1266232,3.79
I Leukemia,Maryland,2005,44,1534518,2.87
I Leukemia,Massachusetts,2005,73,1654917,4.41
I Leukemia,Michigan,2005,132,2823815,4.670000000000001
I Leukemia,Minnesota,2005,66,1429877,4.62
I Leukemia,Mississippi,2005,36,842332,4.2700000000000005
I Leukemia,Missouri,2005,66,1591905,4.15
I Leukemia,Nebraska,2005,20,503481,3.9700000000000006
I Leukemia,Nevada,2005,31,670125,4.63
I Leukemia,New Hampshire,2005,18,345256,5.210000000000001
I Leukemia,New Jersey,2005,125,2332099,5.36
I Leukemia,New Mexico,2005,37,562362,6.58
I Leukemia,New York,2005,222,5053118,4.39
I Leukemia,North Carolina,2005,103,2371142,4.34
I Leukemia,Ohio,2005,112,3142242,3.5600000000000005
I Leukemia,Oklahoma,2005,42,992206,4.2299999999999995
I Leukemia,Oregon,2005,36,948792,3.79
I Leukemia,Pennsylvania,2005,142,3226468,4.4
I Leukemia,South Carolina,2005,29,1167061,2.4800000000000004
I Leukemia,Tennessee,2005,64,1612057,3.9700000000000006
I Leukemia,Texas,2005,353,6976844,5.0600000000000005
I Leukemia,Utah,2005,39,854507,4.5600000000000005
I Leukemia,Virginia,2005,84,2033460,4.13
I Leukemia,Washington,2005,77,1698371,4.53
I Leukemia,West Virginia,2005,22,439884,5
I Leukemia,Wisconsin,2005,75,1517031,4.94
I Leukemia,Alabama,2006,41,1259673,3.25
I Leukemia,Arizona,2006,85,1745335,4.870000000000001
I Leukemia,Arkansas,2006,26,776646,3.35
I Leukemia,California,2006,557,10426324,5.34
I Leukemia,Colorado,2006,59,1305551,4.5200000000000005
I Leukemia,Connecticut,2006,35,935104,3.74
I Leukemia,Florida,2006,190,4495577,4.2299999999999995
I Leukemia,Georgia,2006,126,2669592,4.720000000000001
I Leukemia,Idaho,2006,25,449429,5.5600000000000005
I Leukemia,Illinois,2006,163,3537020,4.61
I Leukemia,Indiana,2006,79,1790845,4.41
I Leukemia,Iowa,2006,26,812182,3.2
I Leukemia,Kansas,2006,33,789101,4.18
I Leukemia,Kentucky,2006,50,1126137,4.44
I Leukemia,Louisiana,2006,40,1209304,3.3100000000000005
I Leukemia,Maryland,2006,57,1532167,3.7200000000000006
I Leukemia,Massachusetts,2006,77,1644388,4.68
I Leukemia,Michigan,2006,123,2796852,4.4
I Leukemia,Minnesota,2006,67,1430719,4.68
I Leukemia,Mississippi,2006,39,846218,4.61
I Leukemia,Missouri,2006,66,1596872,4.13
I Leukemia,Nebraska,2006,23,503694,4.57
I Leukemia,Nevada,2006,28,695646,4.03
I Leukemia,New Jersey,2006,115,2320362,4.960000000000001
I Leukemia,New Mexico,2006,35,564480,6.2
I Leukemia,New York,2006,225,5001918,4.5
I Leukemia,North Carolina,2006,108,2420033,4.46
I Leukemia,Ohio,2006,130,3128181,4.16
I Leukemia,Oklahoma,2006,53,1001264,5.29
I Leukemia,Oregon,2006,56,956786,5.8500000000000005
I Leukemia,Pennsylvania,2006,161,3223047,5
I Leukemia,Rhode Island,2006,16,274986,5.82
I Leukemia,South Carolina,2006,54,1182215,4.57
I Leukemia,Tennessee,2006,66,1634569,4.04
I Leukemia,Texas,2006,416,7146953,5.82
I Leukemia,Utah,2006,32,876494,3.6500000000000004
I Leukemia,Virginia,2006,89,2046587,4.3500000000000005
I Leukemia,Washington,2006,81,1713930,4.7299999999999995
I Leukemia,Wisconsin,2006,76,1513469,5.0200000000000005
I Leukemia,Alabama,2007,45,1267999,3.5500000000000003
I Leukemia,Arizona,2007,78,1785103,4.37
I Leukemia,Arkansas,2007,30,782997,3.83
I Leukemia,California,2007,578,10419053,5.550000000000001
I Leukemia,Colorado,2007,64,1323445,4.84
I Leukemia,Connecticut,2007,41,930555,4.41
I Leukemia,Florida,2007,218,4520513,4.82
I Leukemia,Georgia,2007,117,2729049,4.29
I Leukemia,Hawaii,2007,18,333499,5.4
I Leukemia,Idaho,2007,21,460456,4.5600000000000005
I Leukemia,Illinois,2007,153,3531290,4.33
I Leukemia,Indiana,2007,85,1800421,4.720000000000001
I Leukemia,Iowa,2007,35,814834,4.3
I Leukemia,Kansas,2007,31,794777,3.9000000000000004
I Leukemia,Kentucky,2007,45,1133012,3.9700000000000006
I Leukemia,Louisiana,2007,57,1229822,4.63
I Leukemia,Maryland,2007,57,1527590,3.73
I Leukemia,Massachusetts,2007,67,1637403,4.09
I Leukemia,Michigan,2007,111,2765779,4.010000000000001
I Leukemia,Minnesota,2007,61,1433925,4.25
I Leukemia,Mississippi,2007,34,852442,3.99
I Leukemia,Missouri,2007,60,1602212,3.74
I Leukemia,Nebraska,2007,22,504876,4.36
I Leukemia,Nevada,2007,39,718348,5.43
I Leukemia,New Jersey,2007,130,2310920,5.63
I Leukemia,New Mexico,2007,23,568165,4.05
I Leukemia,New York,2007,239,4965536,4.8100000000000005
I Leukemia,North Carolina,2007,97,2480165,3.91
I Leukemia,Ohio,2007,134,3118812,4.3
I Leukemia,Oklahoma,2007,61,1011828,6.03
I Leukemia,Oregon,2007,57,964328,5.91
I Leukemia,Pennsylvania,2007,168,3217880,5.220000000000001
I Leukemia,South Carolina,2007,53,1200413,4.420000000000001
I Leukemia,Tennessee,2007,75,1652684,4.54
I Leukemia,Texas,2007,388,7276869,5.33
I Leukemia,Utah,2007,36,903708,3.98
I Leukemia,Virginia,2007,89,2057072,4.33
I Leukemia,Washington,2007,87,1729590,5.03
I Leukemia,West Virginia,2007,17,439891,3.8600000000000003
I Leukemia,Wisconsin,2007,81,1512810,5.3500000000000005
I Leukemia,Alabama,2008,54,1276607,4.2299999999999995
I Leukemia,Arizona,2008,97,1814820,5.34
I Leukemia,Arkansas,2008,23,788595,2.92
I Leukemia,California,2008,580,10448668,5.550000000000001
I Leukemia,Colorado,2008,61,1341086,4.55
I Leukemia,Connecticut,2008,44,926767,4.75
I Leukemia,Delaware,2008,17,233768,7.2700000000000005
I Leukemia,Florida,2008,225,4527628,4.970000000000001
I Leukemia,Georgia,2008,105,2763796,3.8000000000000003
I Leukemia,Hawaii,2008,18,335167,5.370000000000001
I Leukemia,Idaho,2008,19,468822,4.05
I Leukemia,Illinois,2008,176,3522622,5
I Leukemia,Indiana,2008,103,1808812,5.69
I Leukemia,Iowa,2008,32,818652,3.91
I Leukemia,Kansas,2008,47,799701,5.88
I Leukemia,Kentucky,2008,48,1142982,4.2
I Leukemia,Louisiana,2008,49,1245348,3.9299999999999997
I Leukemia,Maine,2008,20,319449,6.260000000000001
I Leukemia,Maryland,2008,71,1522335,4.66
I Leukemia,Massachusetts,2008,79,1632561,4.84
I Leukemia,Michigan,2008,118,2724448,4.33
I Leukemia,Minnesota,2008,75,1435004,5.23
I Leukemia,Mississippi,2008,38,855160,4.44
I Leukemia,Missouri,2008,57,1604617,3.5500000000000003
I Leukemia,Nebraska,2008,20,507566,3.94
I Leukemia,Nevada,2008,35,731131,4.79
I Leukemia,New Hampshire,2008,17,335369,5.07
I Leukemia,New Jersey,2008,93,2303527,4.04
I Leukemia,New Mexico,2008,25,571815,4.37
I Leukemia,New York,2008,235,4945553,4.75
I Leukemia,North Carolina,2008,106,2523924,4.2
I Leukemia,Ohio,2008,136,3105558,4.38
I Leukemia,Oklahoma,2008,48,1021071,4.7
I Leukemia,Oregon,2008,53,971055,5.460000000000001
I Leukemia,Pennsylvania,2008,136,3208808,4.24
I Leukemia,South Carolina,2008,49,1217007,4.03
I Leukemia,Tennessee,2008,81,1670378,4.8500000000000005
I Leukemia,Texas,2008,457,7409811,6.170000000000001
I Leukemia,Utah,2008,46,927945,4.960000000000001
I Leukemia,Virginia,2008,109,2067145,5.2700000000000005
I Leukemia,Washington,2008,82,1746269,4.7
I Leukemia,West Virginia,2008,23,440893,5.220000000000001
I Leukemia,Wisconsin,2008,90,1511190,5.960000000000001
I Leukemia,Alabama,2009,55,1278959,4.3
I Leukemia,Arizona,2009,106,1817884,5.83
I Leukemia,Arkansas,2009,40,792501,5.050000000000001
I Leukemia,California,2009,592,10451060,5.66
I Leukemia,Colorado,2009,79,1356810,5.82
I Leukemia,Connecticut,2009,52,921458,5.640000000000001
I Leukemia,Florida,2009,187,4513647,4.14
I Leukemia,Georgia,2009,125,2777234,4.5
I Leukemia,Hawaii,2009,19,337593,5.63
I Leukemia,Idaho,2009,22,472822,4.65
I Leukemia,Illinois,2009,163,3509764,4.64
I Leukemia,Indiana,2009,74,1809338,4.09
I Leukemia,Iowa,2009,39,820403,4.75
I Leukemia,Kansas,2009,42,806266,5.210000000000001
I Leukemia,Kentucky,2009,51,1144346,4.46
I Leukemia,Louisiana,2009,47,1251268,3.7600000000000002
I Leukemia,Maryland,2009,76,1518884,5
I Leukemia,Massachusetts,2009,68,1628136,4.18
I Leukemia,Michigan,2009,107,2682344,3.99
I Leukemia,Minnesota,2009,64,1433773,4.46
I Leukemia,Mississippi,2009,29,853197,3.4000000000000004
I Leukemia,Missouri,2009,73,1603978,4.55
I Leukemia,Nebraska,2009,19,510372,3.7200000000000006
I Leukemia,Nevada,2009,43,736746,5.84
I Leukemia,New Jersey,2009,122,2297204,5.3100000000000005
I Leukemia,New Mexico,2009,25,576832,4.33
I Leukemia,New York,2009,245,4922253,4.98
I Leukemia,North Carolina,2009,116,2552467,4.54
I Leukemia,Ohio,2009,127,3087465,4.11
I Leukemia,Oklahoma,2009,50,1034601,4.83
I Leukemia,Oregon,2009,41,972889,4.21
I Leukemia,Pennsylvania,2009,142,3196745,4.44
I Leukemia,South Carolina,2009,47,1225444,3.84
I Leukemia,Tennessee,2009,71,1674771,4.24
I Leukemia,Texas,2009,411,7543609,5.45
I Leukemia,Utah,2009,36,949690,3.79
I Leukemia,Virginia,2009,70,2076842,3.3700000000000006
I Leukemia,Washington,2009,83,1763887,4.71
I Leukemia,West Virginia,2009,19,440868,4.3100000000000005
I Leukemia,Wisconsin,2009,72,1507858,4.7700000000000005
I Leukemia,Alabama,2010,38,1273450,2.9800000000000004
I Leukemia,Arizona,2010,86,1814489,4.74
I Leukemia,Arkansas,2010,37,795709,4.65
I Leukemia,California,2010,587,10430475,5.63
I Leukemia,Colorado,2010,51,1367000,3.73
I Leukemia,Connecticut,2010,42,917055,4.58
I Leukemia,Florida,2010,236,4503681,5.24
I Leukemia,Georgia,2010,121,2781285,4.3500000000000005
I Leukemia,Idaho,2010,23,475457,4.84
I Leukemia,Illinois,2010,173,3492547,4.95
I Leukemia,Indiana,2010,90,1804429,4.99
I Leukemia,Iowa,2010,35,821394,4.260000000000001
I Leukemia,Kansas,2010,45,811974,5.54
I Leukemia,Kentucky,2010,52,1146606,4.54
I Leukemia,Louisiana,2010,49,1252622,3.91
I Leukemia,Maine,2010,19,309962,6.13
I Leukemia,Maryland,2010,56,1517852,3.69
I Leukemia,Massachusetts,2010,70,1625172,4.3100000000000005
I Leukemia,Michigan,2010,129,2637956,4.890000000000001
I Leukemia,Minnesota,2010,69,1432203,4.82
I Leukemia,Mississippi,2010,26,846956,3.0700000000000003
I Leukemia,Missouri,2010,67,1599528,4.19
I Leukemia,Nebraska,2010,26,513608,5.0600000000000005
I Leukemia,Nevada,2010,45,733539,6.13
I Leukemia,New Jersey,2010,123,2292103,5.370000000000001
I Leukemia,New Mexico,2010,33,579948,5.69
I Leukemia,New York,2010,259,4895434,5.29
I Leukemia,North Carolina,2010,124,2560998,4.84
I Leukemia,Ohio,2010,134,3060751,4.38
I Leukemia,Oklahoma,2010,45,1042844,4.32
I Leukemia,Oregon,2010,40,970863,4.12
I Leukemia,Pennsylvania,2010,156,3174827,4.91
I Leukemia,South Carolina,2010,48,1222217,3.9299999999999997
I Leukemia,Tennessee,2010,74,1673849,4.420000000000001
I Leukemia,Texas,2010,442,7634449,5.79
I Leukemia,Utah,2010,49,965012,5.08
I Leukemia,Virginia,2010,87,2086233,4.170000000000001
I Leukemia,Washington,2010,77,1770242,4.3500000000000005
I Leukemia,Wisconsin,2010,77,1501575,5.13
I Leukemia,Alabama,2011,56,1263895,4.43
I Leukemia,Arizona,2011,95,1795647,5.29
I Leukemia,Arkansas,2011,30,793534,3.78
I Leukemia,California,2011,555,10370254,5.3500000000000005
I Leukemia,Colorado,2011,80,1374955,5.82
I Leukemia,Connecticut,2011,38,915821,4.15
I Leukemia,Florida,2011,214,4488437,4.7700000000000005
I Leukemia,Georgia,2011,130,2779227,4.68
I Leukemia,Hawaii,2011,23,340886,6.75
I Leukemia,Idaho,2011,26,475686,5.470000000000001
I Leukemia,Illinois,2011,173,3467883,4.99
I Leukemia,Indiana,2011,75,1795904,4.18
I Leukemia,Iowa,2011,44,822275,5.3500000000000005
I Leukemia,Kansas,2011,40,812898,4.920000000000001
I Leukemia,Kentucky,2011,52,1143121,4.55
I Leukemia,Louisiana,2011,58,1246073,4.65
I Leukemia,Maryland,2011,51,1520984,3.35
I Leukemia,Massachusetts,2011,80,1626878,4.920000000000001
I Leukemia,Michigan,2011,129,2603185,4.960000000000001
I Leukemia,Minnesota,2011,65,1434697,4.53
I Leukemia,Mississippi,2011,27,838698,3.2200000000000006
I Leukemia,Missouri,2011,64,1587236,4.03
I Leukemia,Nebraska,2011,25,516752,4.84
I Leukemia,Nevada,2011,39,724131,5.390000000000001
I Leukemia,New Hampshire,2011,16,322239,4.970000000000001
I Leukemia,New Jersey,2011,119,2293748,5.19
I Leukemia,New Mexico,2011,31,579073,5.3500000000000005
I Leukemia,New York,2011,255,4888061,5.220000000000001
I Leukemia,North Carolina,2011,108,2557053,4.220000000000001
I Leukemia,Ohio,2011,145,3031650,4.78
I Leukemia,Oklahoma,2011,50,1044976,4.78
I Leukemia,Oregon,2011,41,967433,4.24
I Leukemia,Pennsylvania,2011,164,3157064,5.19
I Leukemia,South Carolina,2011,49,1213760,4.04
I Leukemia,South Dakota,2011,20,228717,8.74
I Leukemia,Tennessee,2011,91,1668551,5.45
I Leukemia,Texas,2011,409,7693071,5.32
I Leukemia,Utah,2011,47,971379,4.84
I Leukemia,Virginia,2011,90,2092221,4.3
I Leukemia,Washington,2011,81,1770867,4.57
I Leukemia,West Virginia,2011,24,435292,5.510000000000001
I Leukemia,Wisconsin,2011,65,1496185,4.34
I Leukemia,Alabama,2012,55,1257483,4.37
I Leukemia,Arizona,2012,87,1790431,4.86
