state,age_group,year,count,population,crude_rate_100k
Missouri,10-14 years,1999,41,410286,9.990000000000002
Missouri,15-19 years,1999,73,413459,17.66
Missouri,5-9 years,1999,35,401327,8.72
Montana,15-19 years,1999,18,71658,25.12
Nebraska,1-4 years,1999,25,93224,26.82
Nebraska,15-19 years,1999,36,135215,26.62
Nevada,1-4 years,1999,20,113247,17.66
Nevada,15-19 years,1999,24,122575,19.580000000000002
Nevada,5-9 years,1999,17,144042,11.8
New Hampshire,15-19 years,1999,16,85086,18.8
New Jersey,1-4 years,1999,83,452423,18.35
New Jersey,10-14 years,1999,87,574638,15.14
New Jersey,15-19 years,1999,121,521754,23.19
New Jersey,5-9 years,1999,77,604736,12.73
New Jersey,< 1 year,1999,29,110153,26.330000000000002
New Mexico,10-14 years,1999,17,147076,11.56
New Mexico,15-19 years,1999,34,146003,23.290000000000003
New Mexico,5-9 years,1999,22,142803,15.41
New York,1-4 years,1999,215,1002915,21.44
New York,10-14 years,1999,174,1302892,13.350000000000001
New York,15-19 years,1999,280,1275530,21.950000000000003
New York,5-9 years,1999,136,1363341,9.98
New York,< 1 year,1999,64,243244,26.310000000000002
North Carolina,1-4 years,1999,83,419508,19.790000000000003
North Carolina,10-14 years,1999,68,536658,12.670000000000002
North Carolina,15-19 years,1999,104,533703,19.490000000000002
North Carolina,5-9 years,1999,55,558932,9.840000000000002
North Carolina,< 1 year,1999,22,109781,20.040000000000003
Ohio,1-4 years,1999,111,609007,18.23
Ohio,10-14 years,1999,108,823530,13.11
Ohio,15-19 years,1999,170,820849,20.71
Ohio,5-9 years,1999,96,820559,11.700000000000001
Ohio,< 1 year,1999,46,148182,31.04
Oklahoma,1-4 years,1999,43,186830,23.02
Oklahoma,10-14 years,1999,23,253035,9.090000000000002
Oklahoma,15-19 years,1999,42,270348,15.540000000000001
Oklahoma,5-9 years,1999,30,247229,12.13
Oregon,1-4 years,1999,39,177536,21.97
Oregon,10-14 years,1999,35,240424,14.56
Oregon,15-19 years,1999,61,244611,24.94
Oregon,5-9 years,1999,26,234335,11.100000000000001
Pennsylvania,1-4 years,1999,127,591206,21.480000000000004
Pennsylvania,10-14 years,1999,104,856318,12.15
Pennsylvania,15-19 years,1999,171,848682,20.150000000000002
Pennsylvania,5-9 years,1999,102,838719,12.16
Pennsylvania,< 1 year,1999,44,140732,31.27
Rhode Island,< 1 year,1999,0,12244,0
South Carolina,1-4 years,1999,30,208594,14.380000000000003
South Carolina,10-14 years,1999,37,285947,12.940000000000001
South Carolina,15-19 years,1999,45,295241,15.240000000000002
South Carolina,5-9 years,1999,30,289113,10.38
Tennessee,1-4 years,1999,45,296171,15.190000000000001
Tennessee,10-14 years,1999,34,388130,8.76
Tennessee,15-19 years,1999,49,395646,12.38
Tennessee,5-9 years,1999,31,394276,7.859999999999999
Texas,1-4 years,1999,275,1284813,21.400000000000002
Texas,10-14 years,1999,211,1611277,13.100000000000001
Texas,15-19 years,1999,338,1619632,20.87
Texas,5-9 years,1999,189,1640288,11.520000000000001
Texas,< 1 year,1999,96,332378,28.880000000000003
Utah,1-4 years,1999,33,162157,20.35
Utah,10-14 years,1999,31,191810,16.16
Utah,15-19 years,1999,35,219171,15.969999999999999
Utah,5-9 years,1999,22,190841,11.530000000000001
Virginia,1-4 years,1999,72,366586,19.64
Virginia,10-14 years,1999,45,485971,9.26
Virginia,15-19 years,1999,83,478532,17.34
Virginia,5-9 years,1999,58,496005,11.690000000000001
Washington,1-4 years,1999,69,315531,21.87
Washington,10-14 years,1999,62,430279,14.41
Washington,15-19 years,1999,91,424735,21.430000000000003
Washington,5-9 years,1999,40,427119,9.370000000000001
West Virginia,1-4 years,1999,20,82437,24.26
West Virginia,15-19 years,1999,29,129301,22.430000000000003
Wisconsin,1-4 years,1999,46,269904,17.040000000000003
Wisconsin,10-14 years,1999,46,404270,11.38
Wisconsin,15-19 years,1999,87,407067,21.37
Wisconsin,5-9 years,1999,46,383130,12.01
Alabama,1-4 years,2000,44,235568,18.680000000000003
Alabama,10-14 years,2000,41,321372,12.76
Alabama,15-19 years,2000,76,325612,23.340000000000003
Alabama,5-9 years,2000,28,313178,8.940000000000001
Arizona,1-4 years,2000,64,305134,20.97
Arizona,10-14 years,2000,42,381738,11
Arizona,15-19 years,2000,79,370484,21.32
Arizona,5-9 years,2000,48,389520,12.32
Arkansas,1-4 years,2000,27,144958,18.630000000000003
Arkansas,10-14 years,2000,27,193693,13.940000000000001
Arkansas,15-19 years,2000,39,199484,19.55
Arkansas,5-9 years,2000,19,186221,10.200000000000001
California,1-4 years,2000,400,1998217,20.02
California,10-14 years,2000,310,2587669,11.98
California,15-19 years,2000,482,2459982,19.590000000000003
California,5-9 years,2000,324,2717425,11.920000000000002
California,< 1 year,2000,89,492631,18.07
Colorado,1-4 years,2000,40,236987,16.880000000000003
Colorado,10-14 years,2000,41,314366,13.040000000000001
Colorado,15-19 years,2000,79,309455,25.53
Colorado,5-9 years,2000,37,308509,11.990000000000002
Connecticut,1-4 years,2000,47,179997,26.110000000000003
Connecticut,10-14 years,2000,40,242756,16.48
Connecticut,15-19 years,2000,51,217105,23.490000000000002
Connecticut,5-9 years,2000,32,243110,13.16
Florida,1-4 years,2000,155,756955,20.480000000000004
Florida,10-14 years,2000,149,1064761,13.990000000000002
Florida,15-19 years,2000,200,1019203,19.62
Florida,5-9 years,2000,160,1028130,15.56
Florida,< 1 year,2000,46,189540,24.27
Georgia,1-4 years,2000,100,473579,21.12
Georgia,10-14 years,2000,71,612795,11.590000000000002
Georgia,15-19 years,2000,105,599902,17.5
Georgia,5-9 years,2000,65,613973,10.590000000000002
Georgia,< 1 year,2000,26,122726,21.19
Idaho,15-19 years,2000,18,111578,16.130000000000003
Illinois,1-4 years,2000,118,699946,16.86
Illinois,10-14 years,2000,108,908672,11.89
Illinois,15-19 years,2000,190,897721,21.16
Illinois,5-9 years,2000,98,924569,10.600000000000001
Illinois,< 1 year,2000,31,175439,17.669999999999998
Indiana,1-4 years,2000,66,337529,19.55
Indiana,10-14 years,2000,44,445214,9.88
Indiana,15-19 years,2000,103,455362,22.62
Indiana,5-9 years,2000,47,441170,10.65
Indiana,< 1 year,2000,22,85337,25.78
Iowa,1-4 years,2000,38,150488,25.25
Iowa,10-14 years,2000,27,211121,12.790000000000001
Iowa,15-19 years,2000,44,227104,19.37
Iowa,5-9 years,2000,27,201543,13.4
Kansas,1-4 years,2000,28,150351,18.62
Kansas,10-14 years,2000,19,204968,9.270000000000001
Kansas,15-19 years,2000,41,210971,19.430000000000003
Kentucky,1-4 years,2000,44,211990,20.76
Kentucky,10-14 years,2000,40,280559,14.26
Kentucky,15-19 years,2000,61,290057,21.03
Kentucky,5-9 years,2000,36,277905,12.950000000000001
Louisiana,1-4 years,2000,44,251754,17.48
Louisiana,10-14 years,2000,34,348959,9.740000000000002
Louisiana,15-19 years,2000,56,366564,15.280000000000001
Louisiana,5-9 years,2000,37,334124,11.07
Louisiana,< 1 year,2000,21,64596,32.510000000000005
Maine,10-14 years,2000,18,92584,19.44
Maryland,1-4 years,2000,51,282656,18.040000000000003
Maryland,10-14 years,2000,46,394250,11.670000000000002
Maryland,15-19 years,2000,71,357207,19.880000000000003
Maryland,5-9 years,2000,34,389235,8.74
Maryland,< 1 year,2000,20,70434,28.400000000000002
Massachusetts,1-4 years,2000,68,318229,21.37
Massachusetts,10-14 years,2000,56,433272,12.92
Massachusetts,15-19 years,2000,92,416959,22.060000000000002
Massachusetts,5-9 years,2000,49,429119,11.420000000000002
Massachusetts,< 1 year,2000,20,78850,25.36
Michigan,1-4 years,2000,124,538949,23.01
Michigan,10-14 years,2000,97,749920,12.930000000000001
Michigan,15-19 years,2000,155,722243,21.46
Michigan,5-9 years,2000,71,741365,9.58
Michigan,< 1 year,2000,46,132503,34.72
Minnesota,1-4 years,2000,71,264159,26.880000000000003
Minnesota,10-14 years,2000,50,377027,13.26
Minnesota,15-19 years,2000,81,376164,21.53
Minnesota,5-9 years,2000,46,354934,12.96
Missouri,1-4 years,2000,63,296010,21.28
Missouri,10-14 years,2000,56,413823,13.530000000000001
Missouri,15-19 years,2000,84,414907,20.25
Missouri,5-9 years,2000,40,396988,10.08
Missouri,< 1 year,2000,17,73526,23.12
Montana,15-19 years,2000,28,71591,39.11000000000001
Nebraska,15-19 years,2000,35,135348,25.860000000000003
Nevada,1-4 years,2000,18,117267,15.350000000000001
Nevada,10-14 years,2000,18,140958,12.770000000000001
Nevada,15-19 years,2000,26,128571,20.22
Nevada,5-9 years,2000,24,149749,16.03
New Hampshire,15-19 years,2000,16,87097,18.37
New Jersey,1-4 years,2000,93,452034,20.57
New Jersey,10-14 years,2000,74,593328,12.47
New Jersey,15-19 years,2000,132,526522,25.07
New Jersey,5-9 years,2000,77,601770,12.8
New Jersey,< 1 year,2000,36,111758,32.21
New Mexico,1-4 years,2000,16,103687,15.430000000000001
New Mexico,15-19 years,2000,34,145935,23.3
New York,1-4 years,2000,233,990327,23.53
New York,10-14 years,2000,159,1337562,11.89
New York,15-19 years,2000,276,1288087,21.430000000000003
New York,5-9 years,2000,167,1344149,12.420000000000002
New York,< 1 year,2000,67,246751,27.150000000000002
North Carolina,1-4 years,2000,83,427839,19.400000000000002
North Carolina,10-14 years,2000,73,554863,13.16
North Carolina,15-19 years,2000,103,541400,19.02
North Carolina,5-9 years,2000,58,560391,10.350000000000001
North Carolina,< 1 year,2000,26,112027,23.21
Ohio,1-4 years,2000,99,603741,16.400000000000002
Ohio,10-14 years,2000,109,830437,13.130000000000003
Ohio,15-19 years,2000,160,819088,19.53
Ohio,5-9 years,2000,90,811670,11.090000000000002
Ohio,< 1 year,2000,23,149663,15.37
Oklahoma,1-4 years,2000,36,187983,19.150000000000002
Oklahoma,10-14 years,2000,21,252853,8.31
Oklahoma,15-19 years,2000,51,270083,18.880000000000003
Oklahoma,5-9 years,2000,30,243036,12.340000000000002
Oregon,1-4 years,2000,38,178398,21.3
Oregon,10-14 years,2000,21,243176,8.64
Oregon,15-19 years,2000,54,245470,22
Oregon,5-9 years,2000,24,233577,10.270000000000001
Pennsylvania,1-4 years,2000,135,583401,23.14
Pennsylvania,10-14 years,2000,101,866145,11.66
Pennsylvania,15-19 years,2000,173,852407,20.3
Pennsylvania,5-9 years,2000,116,822683,14.100000000000001
Pennsylvania,< 1 year,2000,36,142568,25.25
Rhode Island,10-14 years,2000,20,71691,27.900000000000002
South Carolina,1-4 years,2000,41,209960,19.53
South Carolina,10-14 years,2000,35,292066,11.98
South Carolina,15-19 years,2000,48,297302,16.150000000000002
South Carolina,5-9 years,2000,26,283789,9.16
Tennessee,1-4 years,2000,58,298793,19.41
Tennessee,10-14 years,2000,44,397123,11.08
Tennessee,15-19 years,2000,66,396794,16.630000000000003
Tennessee,5-9 years,2000,28,394011,7.109999999999999
Tennessee,< 1 year,2000,19,75874,25.040000000000003
Texas,1-4 years,2000,284,1291553,21.990000000000002
Texas,10-14 years,2000,234,1644416,14.230000000000002
Texas,15-19 years,2000,338,1644928,20.55
Texas,5-9 years,2000,194,1650665,11.75
Texas,< 1 year,2000,87,337037,25.810000000000002
Utah,1-4 years,2000,38,164821,23.060000000000002
Utah,10-14 years,2000,30,193767,15.480000000000002
Utah,15-19 years,2000,46,217947,21.11
Utah,5-9 years,2000,20,192897,10.370000000000001
Virginia,1-4 years,2000,71,368393,19.27
Virginia,10-14 years,2000,65,499023,13.030000000000001
Virginia,15-19 years,2000,96,485807,19.76
Virginia,5-9 years,2000,38,493168,7.71
Virginia,< 1 year,2000,23,93863,24.5
Washington,1-4 years,2000,66,315943,20.89
Washington,10-14 years,2000,51,437007,11.670000000000002
Washington,15-19 years,2000,104,429985,24.19
Washington,5-9 years,2000,43,424463,10.13
Washington,< 1 year,2000,19,78825,24.1
West Virginia,1-4 years,2000,17,81047,20.980000000000004
West Virginia,15-19 years,2000,22,125735,17.5
Wisconsin,1-4 years,2000,70,274153,25.53
Wisconsin,10-14 years,2000,44,404990,10.86
Wisconsin,15-19 years,2000,87,408587,21.290000000000003
Wisconsin,5-9 years,2000,43,378057,11.370000000000001
Alabama,1-4 years,2001,39,235087,16.59
Alabama,10-14 years,2001,44,323615,13.600000000000001
Alabama,15-19 years,2001,50,321866,15.530000000000001
Alabama,5-9 years,2001,28,307526,9.1
Arizona,1-4 years,2001,67,309343,21.66
Arizona,10-14 years,2001,50,392683,12.73
Arizona,15-19 years,2001,82,371612,22.07
Arizona,5-9 years,2001,43,388279,11.07
Arizona,< 1 year,2001,22,84721,25.97
Arkansas,1-4 years,2001,37,145013,25.51
Arkansas,15-19 years,2001,49,195850,25.02
Arkansas,5-9 years,2001,24,184198,13.030000000000001
California,1-4 years,2001,428,1964941,21.78
California,10-14 years,2001,346,2668867,12.96
California,15-19 years,2001,516,2484581,20.77
California,5-9 years,2001,330,2671134,12.350000000000001
California,< 1 year,2001,119,524357,22.69
Colorado,1-4 years,2001,39,242441,16.09
Colorado,10-14 years,2001,42,320321,13.11
Colorado,15-19 years,2001,73,319058,22.880000000000003
Colorado,5-9 years,2001,31,308219,10.06
Connecticut,1-4 years,2001,39,177421,21.980000000000004
Connecticut,10-14 years,2001,36,248552,14.480000000000002
Connecticut,15-19 years,2001,53,225932,23.46
Connecticut,5-9 years,2001,39,240158,16.240000000000002
Connecticut,< 1 year,2001,16,42667,37.5
District of Columbia,< 1 year,2001,0,7479,0
Florida,1-4 years,2001,208,762503,27.28
Florida,10-14 years,2001,141,1094246,12.89
Florida,15-19 years,2001,225,1040770,21.62
Florida,5-9 years,2001,134,1018469,13.16
Florida,< 1 year,2001,51,205486,24.82
Georgia,1-4 years,2001,119,481287,24.730000000000004
Georgia,10-14 years,2001,71,629644,11.280000000000001
Georgia,15-19 years,2001,113,604420,18.7
Georgia,5-9 years,2001,61,611462,9.98
Georgia,< 1 year,2001,28,133456,20.980000000000004
Hawaii,1-4 years,2001,20,60865,32.86000000000001
Idaho,1-4 years,2001,19,79129,24.01
Idaho,10-14 years,2001,20,106539,18.77
Idaho,15-19 years,2001,26,112006,23.21
Idaho,5-9 years,2001,17,100523,16.91
Illinois,1-4 years,2001,161,691925,23.27
Illinois,10-14 years,2001,115,920321,12.5
Illinois,15-19 years,2001,179,897214,19.950000000000003
Illinois,5-9 years,2001,87,911716,9.540000000000001
Illinois,< 1 year,2001,52,182014,28.57
Indiana,1-4 years,2001,78,337960,23.080000000000002
Indiana,10-14 years,2001,48,450526,10.65
Indiana,15-19 years,2001,110,453729,24.240000000000002
Indiana,5-9 years,2001,51,437890,11.65
Indiana,< 1 year,2001,20,87279,22.92
Iowa,1-4 years,2001,28,150178,18.64
Iowa,10-14 years,2001,30,211274,14.200000000000001
Iowa,15-19 years,2001,56,227361,24.630000000000003
Iowa,5-9 years,2001,24,198013,12.120000000000001
Kansas,1-4 years,2001,32,149905,21.35
Kansas,10-14 years,2001,28,204021,13.719999999999999
Kansas,15-19 years,2001,40,213126,18.77
Kansas,5-9 years,2001,17,192889,8.81
Kentucky,1-4 years,2001,50,212070,23.580000000000002
Kentucky,10-14 years,2001,47,282920,16.61
Kentucky,15-19 years,2001,66,285310,23.130000000000003
Kentucky,5-9 years,2001,32,274560,11.66
Louisiana,1-4 years,2001,50,251423,19.89
Louisiana,10-14 years,2001,36,346178,10.4
Louisiana,15-19 years,2001,66,360696,18.3
Louisiana,5-9 years,2001,32,325487,9.83
Maine,10-14 years,2001,19,92720,20.490000000000002
Maine,15-19 years,2001,20,91743,21.8
Maryland,1-4 years,2001,45,281601,15.980000000000002
Maryland,10-14 years,2001,21,404445,5.19
Maryland,15-19 years,2001,64,364932,17.540000000000003
Maryland,5-9 years,2001,21,381871,5.5
Maryland,< 1 year,2001,18,73227,24.580000000000002
Massachusetts,1-4 years,2001,64,314771,20.330000000000002
Massachusetts,10-14 years,2001,55,441121,12.47
Massachusetts,15-19 years,2001,80,425772,18.790000000000003
Massachusetts,5-9 years,2001,42,420696,9.98
Massachusetts,< 1 year,2001,23,80654,28.52
Michigan,1-4 years,2001,105,535057,19.62
Michigan,10-14 years,2001,108,761910,14.17
Michigan,15-19 years,2001,180,725098,24.82
Michigan,5-9 years,2001,105,724404,14.490000000000002
Michigan,< 1 year,2001,33,134204,24.590000000000003
Minnesota,1-4 years,2001,71,264728,26.82
Minnesota,10-14 years,2001,52,378149,13.75
Minnesota,15-19 years,2001,94,382102,24.6
Minnesota,5-9 years,2001,36,350768,10.26
Missouri,1-4 years,2001,60,294978,20.340000000000003
Missouri,10-14 years,2001,39,415732,9.38
Missouri,15-19 years,2001,62,416279,14.89
Missouri,5-9 years,2001,41,390824,10.490000000000002
Missouri,< 1 year,2001,18,75252,23.92
Montana,15-19 years,2001,16,73341,21.82
Nebraska,1-4 years,2001,20,93223,21.450000000000003
Nebraska,10-14 years,2001,16,128883,12.41
Nebraska,15-19 years,2001,33,137463,24.01
Nevada,1-4 years,2001,30,120235,24.950000000000003
Nevada,10-14 years,2001,18,148220,12.14
Nevada,15-19 years,2001,29,131577,22.040000000000003
Nevada,5-9 years,2001,19,152577,12.450000000000001
New Hampshire,15-19 years,2001,25,89759,27.85
New Jersey,1-4 years,2001,96,449944,21.340000000000003
New Jersey,10-14 years,2001,110,608241,18.080000000000002
New Jersey,15-19 years,2001,150,536779,27.939999999999998
New Jersey,5-9 years,2001,65,596437,10.9
New Jersey,< 1 year,2001,42,111847,37.550000000000004
New Mexico,1-4 years,2001,22,103046,21.35
New Mexico,10-14 years,2001,22,147770,14.89
New Mexico,15-19 years,2001,32,146931,21.78
New Mexico,5-9 years,2001,17,135987,12.5
New York,1-4 years,2001,234,969287,24.14
New York,10-14 years,2001,192,1359680,14.12
New York,15-19 years,2001,283,1297172,21.82
New York,5-9 years,2001,167,1314915,12.700000000000001
New York,< 1 year,2001,59,252724,23.35
North Carolina,1-4 years,2001,77,436216,17.650000000000002
North Carolina,10-14 years,2001,65,572993,11.340000000000002
North Carolina,15-19 years,2001,114,555073,20.540000000000003
North Carolina,5-9 years,2001,57,556011,10.25
North Carolina,< 1 year,2001,27,119054,22.680000000000003
Ohio,1-4 years,2001,116,597845,19.400000000000002
Ohio,10-14 years,2001,104,836987,12.43
Ohio,15-19 years,2001,155,814685,19.03
Ohio,5-9 years,2001,82,798069,10.270000000000001
Ohio,< 1 year,2001,39,152664,25.55
Oklahoma,1-4 years,2001,38,188299,20.180000000000003
Oklahoma,10-14 years,2001,23,252253,9.120000000000001
Oklahoma,15-19 years,2001,54,269131,20.060000000000002
Oklahoma,5-9 years,2001,31,238386,13
Oregon,1-4 years,2001,44,178370,24.67
Oregon,10-14 years,2001,30,245956,12.200000000000001
Oregon,15-19 years,2001,52,246236,21.12
Oregon,5-9 years,2001,27,230826,11.700000000000001
Pennsylvania,1-4 years,2001,133,575324,23.12
Pennsylvania,10-14 years,2001,132,873510,15.11
Pennsylvania,15-19 years,2001,178,859430,20.71
Pennsylvania,5-9 years,2001,94,803825,11.690000000000001
Pennsylvania,< 1 year,2001,36,144877,24.85
Rhode Island,10-14 years,2001,17,73424,23.150000000000002
South Carolina,1-4 years,2001,35,212392,16.48
South Carolina,10-14 years,2001,40,298166,13.42
South Carolina,15-19 years,2001,46,296211,15.530000000000001
South Carolina,5-9 years,2001,29,277807,10.440000000000001
Tennessee,1-4 years,2001,56,299753,18.680000000000003
Tennessee,10-14 years,2001,55,404214,13.61
Tennessee,15-19 years,2001,77,393483,19.57
Tennessee,5-9 years,2001,42,389791,10.780000000000001
Tennessee,< 1 year,2001,18,78463,22.94
Texas,1-4 years,2001,301,1308559,23
Texas,10-14 years,2001,264,1671910,15.790000000000001
Texas,15-19 years,2001,385,1663627,23.14
Texas,5-9 years,2001,206,1645825,12.520000000000001
Texas,< 1 year,2001,91,360971,25.21
Utah,1-4 years,2001,33,168775,19.55
Utah,10-14 years,2001,38,195119,19.480000000000004
Utah,15-19 years,2001,39,215676,18.080000000000002
Utah,5-9 years,2001,21,193565,10.850000000000001
Virginia,1-4 years,2001,59,370532,15.92
Virginia,10-14 years,2001,56,508220,11.020000000000001
Virginia,15-19 years,2001,80,498375,16.05
Virginia,5-9 years,2001,50,485594,10.3
Washington,1-4 years,2001,66,316149,20.880000000000003
Washington,10-14 years,2001,69,440971,15.65
Washington,15-19 years,2001,112,433505,25.84
Washington,5-9 years,2001,42,416583,10.08
Washington,< 1 year,2001,24,80803,29.700000000000003
West Virginia,10-14 years,2001,18,115635,15.57
West Virginia,15-19 years,2001,31,122425,25.32
Wisconsin,1-4 years,2001,67,274479,24.41
Wisconsin,10-14 years,2001,40,405683,9.86
Wisconsin,15-19 years,2001,107,415104,25.78
Wisconsin,5-9 years,2001,41,371313,11.040000000000001
Wisconsin,< 1 year,2001,22,68939,31.910000000000004
Alabama,1-4 years,2002,45,237083,18.98
Alabama,10-14 years,2002,42,325008,12.92
Alabama,15-19 years,2002,65,320749,20.27
Alabama,5-9 years,2002,32,302632,10.57
Arizona,1-4 years,2002,74,320132,23.12
Arizona,10-14 years,2002,50,402889,12.41
Arizona,15-19 years,2002,77,378885,20.32
Arizona,5-9 years,2002,54,388857,13.89
Arizona,< 1 year,2002,17,84886,20.03
Arkansas,1-4 years,2002,23,145493,15.81
Arkansas,10-14 years,2002,20,195632,10.22
Arkansas,15-19 years,2002,20,194395,10.290000000000001
Arkansas,5-9 years,2002,21,182837,11.490000000000002
California,1-4 years,2002,418,1977376,21.14
California,10-14 years,2002,366,2739123,13.36
California,15-19 years,2002,567,2515883,22.540000000000003
California,5-9 years,2002,313,2607616,12
California,< 1 year,2002,123,514905,23.89
Colorado,1-4 years,2002,52,249899,20.810000000000002
Colorado,10-14 years,2002,30,323786,9.270000000000001
Colorado,15-19 years,2002,84,323712,25.950000000000003
Colorado,5-9 years,2002,28,305736,9.16
Connecticut,1-4 years,2002,39,175275,22.25
Connecticut,10-14 years,2002,36,252593,14.25
Connecticut,15-19 years,2002,55,232848,23.62
Connecticut,5-9 years,2002,25,238119,10.5
Florida,1-4 years,2002,193,786434,24.540000000000003
Florida,10-14 years,2002,137,1119215,12.240000000000002
Florida,15-19 years,2002,259,1066682,24.28
Florida,5-9 years,2002,132,1013607,13.02
Florida,< 1 year,2002,53,204364,25.930000000000003
Georgia,1-4 years,2002,103,498433,20.66
Georgia,10-14 years,2002,75,643694,11.65
Georgia,15-19 years,2002,114,610814,18.66
Georgia,5-9 years,2002,77,609905,12.620000000000001
Georgia,< 1 year,2002,29,131046,22.130000000000003
Hawaii,< 1 year,2002,0,16627,0
Idaho,1-4 years,2002,25,80939,30.89
Idaho,10-14 years,2002,19,107847,17.62
Idaho,15-19 years,2002,25,111048,22.51
Illinois,1-4 years,2002,155,696170,22.26
Illinois,10-14 years,2002,112,930923,12.030000000000001
Illinois,15-19 years,2002,168,895240,18.77
Illinois,5-9 years,2002,115,895265,12.850000000000001
Illinois,< 1 year,2002,32,176591,18.12
Indiana,1-4 years,2002,66,341506,19.330000000000002
Indiana,10-14 years,2002,55,454818,12.090000000000002
Indiana,15-19 years,2002,121,450831,26.84
Indiana,5-9 years,2002,62,433323,14.31
Indiana,< 1 year,2002,21,84208,24.94
Iowa,1-4 years,2002,42,150206,27.960000000000004
Iowa,10-14 years,2002,28,211748,13.219999999999999
Iowa,15-19 years,2002,49,223448,21.930000000000003
Iowa,5-9 years,2002,33,194909,16.930000000000003
Kansas,1-4 years,2002,38,152001,25
Kansas,10-14 years,2002,24,203075,11.82
