cancer_site,state,count,population,crude_rate_100k
I(b) Acute myeloid leukemias,South Carolina,199,27583495,0.7200000000000001
I(b) Acute myeloid leukemias,South Dakota,41,4834317,0.8500000000000001
I(b) Acute myeloid leukemias,Tennessee,279,37884392,0.7400000000000001
I(b) Acute myeloid leukemias,Texas,1402,172599550,0.81
I(b) Acute myeloid leukemias,Utah,187,21588203,0.87
I(b) Acute myeloid leukemias,Vermont,26,3490801,0.7400000000000001
I(b) Acute myeloid leukemias,Virginia,352,47413830,0.7400000000000001
I(b) Acute myeloid leukemias,Washington,323,40520105,0.8
I(b) Acute myeloid leukemias,West Virginia,75,9950567,0.75
I(b) Acute myeloid leukemias,Wisconsin,301,34329682,0.8800000000000001
I(b) Acute myeloid leukemias,Wyoming,17,3396153,0.5
I(c) Chronic myeloproliferative diseases,Alabama,132,28877079,0.45999999999999996
I(c) Chronic myeloproliferative diseases,Arizona,88,39775657,0.22000000000000003
I(c) Chronic myeloproliferative diseases,Arkansas,36,17898158,0.2
I(c) Chronic myeloproliferative diseases,California,467,236070538,0.2
I(c) Chronic myeloproliferative diseases,Colorado,52,30887289,0.17
I(c) Chronic myeloproliferative diseases,Connecticut,39,20830240,0.19
I(c) Chronic myeloproliferative diseases,Florida,323,102863635,0.31000000000000005
I(c) Chronic myeloproliferative diseases,Georgia,153,62011319,0.25
I(c) Chronic myeloproliferative diseases,Idaho,18,10734756,0.17
I(c) Chronic myeloproliferative diseases,Illinois,144,79093866,0.18000000000000002
I(c) Chronic myeloproliferative diseases,Indiana,52,37414578,0.13999999999999999
I(c) Chronic myeloproliferative diseases,Iowa,40,18924991,0.21000000000000002
I(c) Chronic myeloproliferative diseases,Kansas,41,18406535,0.22000000000000003
I(c) Chronic myeloproliferative diseases,Kentucky,46,25974328,0.18000000000000002
I(c) Chronic myeloproliferative diseases,Louisiana,56,29086064,0.19
I(c) Chronic myeloproliferative diseases,Maryland,62,34984232,0.18000000000000002
I(c) Chronic myeloproliferative diseases,Massachusetts,72,37580693,0.19
I(c) Chronic myeloproliferative diseases,Michigan,118,61154757,0.19
I(c) Chronic myeloproliferative diseases,Minnesota,59,33142582,0.18000000000000002
I(c) Chronic myeloproliferative diseases,Mississippi,42,15669603,0.27
I(c) Chronic myeloproliferative diseases,Missouri,44,36266473,0.12
I(c) Chronic myeloproliferative diseases,Montana,27,5846055,0.45999999999999996
I(c) Chronic myeloproliferative diseases,Nebraska,24,11903430,0.2
I(c) Chronic myeloproliferative diseases,Nevada,28,16014625,0.17
I(c) Chronic myeloproliferative diseases,New Hampshire,18,7453487,0.24
I(c) Chronic myeloproliferative diseases,New Jersey,142,52654520,0.27
I(c) Chronic myeloproliferative diseases,New Mexico,31,12904509,0.24
I(c) Chronic myeloproliferative diseases,New York,380,113517852,0.33
I(c) Chronic myeloproliferative diseases,North Carolina,121,56649928,0.21000000000000002
I(c) Chronic myeloproliferative diseases,Ohio,137,70366333,0.19
I(c) Chronic myeloproliferative diseases,Oklahoma,47,23756620,0.2
I(c) Chronic myeloproliferative diseases,Oregon,37,22097759,0.17
I(c) Chronic myeloproliferative diseases,Pennsylvania,177,72683727,0.24
I(c) Chronic myeloproliferative diseases,South Carolina,55,27583495,0.2
I(c) Chronic myeloproliferative diseases,Tennessee,86,37884392,0.22999999999999998
I(c) Chronic myeloproliferative diseases,Texas,651,172599550,0.38
I(c) Chronic myeloproliferative diseases,Utah,42,21588203,0.19
I(c) Chronic myeloproliferative diseases,Virginia,68,47413830,0.13999999999999999
I(c) Chronic myeloproliferative diseases,Washington,72,40520105,0.18000000000000002
I(c) Chronic myeloproliferative diseases,Wisconsin,65,34329682,0.19
I(d) Myelodysplastic syndrome and other myeloproliferative,Alabama,21,28877079,0.06999999999999999
I(d) Myelodysplastic syndrome and other myeloproliferative,Arizona,53,39775657,0.13
I(d) Myelodysplastic syndrome and other myeloproliferative,Arkansas,17,17898158,0.09000000000000001
I(d) Myelodysplastic syndrome and other myeloproliferative,California,298,236070538,0.13
I(d) Myelodysplastic syndrome and other myeloproliferative,Colorado,27,30887289,0.09000000000000001
I(d) Myelodysplastic syndrome and other myeloproliferative,Connecticut,22,20830240,0.11000000000000001
I(d) Myelodysplastic syndrome and other myeloproliferative,Florida,141,102863635,0.13999999999999999
I(d) Myelodysplastic syndrome and other myeloproliferative,Georgia,96,62011319,0.15000000000000002
I(d) Myelodysplastic syndrome and other myeloproliferative,Illinois,83,79093866,0.1
I(d) Myelodysplastic syndrome and other myeloproliferative,Indiana,40,37414578,0.11000000000000001
I(d) Myelodysplastic syndrome and other myeloproliferative,Iowa,24,18924991,0.13
I(d) Myelodysplastic syndrome and other myeloproliferative,Kansas,33,18406535,0.18000000000000002
I(d) Myelodysplastic syndrome and other myeloproliferative,Kentucky,33,25974328,0.13
I(d) Myelodysplastic syndrome and other myeloproliferative,Louisiana,58,29086064,0.2
I(d) Myelodysplastic syndrome and other myeloproliferative,Maryland,38,34984232,0.11000000000000001
I(d) Myelodysplastic syndrome and other myeloproliferative,Massachusetts,29,37580693,0.08000000000000002
I(d) Myelodysplastic syndrome and other myeloproliferative,Michigan,111,61154757,0.18000000000000002
I(d) Myelodysplastic syndrome and other myeloproliferative,Minnesota,47,33142582,0.13999999999999999
I(d) Myelodysplastic syndrome and other myeloproliferative,Missouri,39,36266473,0.11000000000000001
I(d) Myelodysplastic syndrome and other myeloproliferative,Nebraska,25,11903430,0.21000000000000002
I(d) Myelodysplastic syndrome and other myeloproliferative,Nevada,19,16014625,0.12
I(d) Myelodysplastic syndrome and other myeloproliferative,New Jersey,84,52654520,0.16000000000000003
I(d) Myelodysplastic syndrome and other myeloproliferative,New York,193,113517852,0.17
I(d) Myelodysplastic syndrome and other myeloproliferative,North Carolina,76,56649928,0.13
I(d) Myelodysplastic syndrome and other myeloproliferative,Ohio,112,70366333,0.16000000000000003
I(d) Myelodysplastic syndrome and other myeloproliferative,Oklahoma,24,23756620,0.1
I(d) Myelodysplastic syndrome and other myeloproliferative,Oregon,35,22097759,0.16000000000000003
I(d) Myelodysplastic syndrome and other myeloproliferative,Pennsylvania,93,72683727,0.13
I(d) Myelodysplastic syndrome and other myeloproliferative,South Carolina,27,27583495,0.1
I(d) Myelodysplastic syndrome and other myeloproliferative,Tennessee,48,37884392,0.13
I(d) Myelodysplastic syndrome and other myeloproliferative,Texas,268,172599550,0.16000000000000003
I(d) Myelodysplastic syndrome and other myeloproliferative,Utah,25,21588203,0.12
I(d) Myelodysplastic syndrome and other myeloproliferative,Virginia,43,47413830,0.09000000000000001
I(d) Myelodysplastic syndrome and other myeloproliferative,Washington,72,40520105,0.18000000000000002
I(d) Myelodysplastic syndrome and other myeloproliferative,Wisconsin,35,34329682,0.1
I(d) Myelodysplastic syndrome and other myeloproliferative,Wyoming,0,3396153,0
I(e) Unspecified and other specified leukemias,Alabama,28,28877079,0.1
I(e) Unspecified and other specified leukemias,Arizona,55,39775657,0.13999999999999999
I(e) Unspecified and other specified leukemias,Arkansas,18,17898158,0.1
I(e) Unspecified and other specified leukemias,California,232,236070538,0.1
I(e) Unspecified and other specified leukemias,Connecticut,36,20830240,0.17
I(e) Unspecified and other specified leukemias,District of Columbia,0,3083338,0
I(e) Unspecified and other specified leukemias,Florida,80,102863635,0.08000000000000002
I(e) Unspecified and other specified leukemias,Georgia,70,62011319,0.11000000000000001
I(e) Unspecified and other specified leukemias,Illinois,91,79093866,0.12
I(e) Unspecified and other specified leukemias,Indiana,30,37414578,0.08000000000000002
I(e) Unspecified and other specified leukemias,Kansas,18,18406535,0.1
I(e) Unspecified and other specified leukemias,Kentucky,31,25974328,0.12
I(e) Unspecified and other specified leukemias,Louisiana,36,29086064,0.12
I(e) Unspecified and other specified leukemias,Maryland,60,34984232,0.17
I(e) Unspecified and other specified leukemias,Massachusetts,18,37580693,0.05
I(e) Unspecified and other specified leukemias,Michigan,58,61154757,0.09000000000000001
I(e) Unspecified and other specified leukemias,Minnesota,38,33142582,0.11000000000000001
I(e) Unspecified and other specified leukemias,Missouri,27,36266473,0.06999999999999999
I(e) Unspecified and other specified leukemias,Nevada,62,16014625,0.39
I(e) Unspecified and other specified leukemias,New Jersey,71,52654520,0.13
I(e) Unspecified and other specified leukemias,New Mexico,19,12904509,0.15000000000000002
I(e) Unspecified and other specified leukemias,New York,112,113517852,0.1
I(e) Unspecified and other specified leukemias,North Carolina,49,56649928,0.09000000000000001
I(e) Unspecified and other specified leukemias,Ohio,55,70366333,0.08000000000000002
I(e) Unspecified and other specified leukemias,Oklahoma,31,23756620,0.13
I(e) Unspecified and other specified leukemias,Oregon,17,22097759,0.08000000000000002
I(e) Unspecified and other specified leukemias,Pennsylvania,56,72683727,0.08000000000000002
I(e) Unspecified and other specified leukemias,Rhode Island,18,6082080,0.30000000000000004
I(e) Unspecified and other specified leukemias,South Carolina,26,27583495,0.09000000000000001
I(e) Unspecified and other specified leukemias,Tennessee,47,37884392,0.12
I(e) Unspecified and other specified leukemias,Texas,384,172599550,0.22000000000000003
I(e) Unspecified and other specified leukemias,Virginia,58,47413830,0.12
I(e) Unspecified and other specified leukemias,Washington,27,40520105,0.06999999999999999
I(e) Unspecified and other specified leukemias,Wisconsin,39,34329682,0.11000000000000001
II Lymphoma and reticuloendothelial neoplasms,Alabama,666,28877079,2.31
II Lymphoma and reticuloendothelial neoplasms,Alaska,125,4720625,2.6500000000000004
II Lymphoma and reticuloendothelial neoplasms,Arizona,946,39775657,2.3800000000000003
II Lymphoma and reticuloendothelial neoplasms,Arkansas,513,17898158,2.87
II Lymphoma and reticuloendothelial neoplasms,California,6087,236070538,2.58
II Lymphoma and reticuloendothelial neoplasms,Colorado,839,30887289,2.72
II Lymphoma and reticuloendothelial neoplasms,Connecticut,714,20830240,3.4299999999999997
II Lymphoma and reticuloendothelial neoplasms,Delaware,158,5268436,3
II Lymphoma and reticuloendothelial neoplasms,District of Columbia,71,3083338,2.3000000000000003
II Lymphoma and reticuloendothelial neoplasms,Florida,2876,102863635,2.8000000000000003
II Lymphoma and reticuloendothelial neoplasms,Georgia,1707,62011319,2.75
II Lymphoma and reticuloendothelial neoplasms,Hawaii,192,7747695,2.4800000000000004
II Lymphoma and reticuloendothelial neoplasms,Idaho,275,10734756,2.5600000000000005
II Lymphoma and reticuloendothelial neoplasms,Illinois,2236,79093866,2.83
II Lymphoma and reticuloendothelial neoplasms,Indiana,1039,37414578,2.7800000000000002
II Lymphoma and reticuloendothelial neoplasms,Iowa,506,18924991,2.67
II Lymphoma and reticuloendothelial neoplasms,Kansas,508,18406535,2.7600000000000002
II Lymphoma and reticuloendothelial neoplasms,Kentucky,754,25974328,2.9000000000000004
II Lymphoma and reticuloendothelial neoplasms,Louisiana,729,29086064,2.5100000000000002
II Lymphoma and reticuloendothelial neoplasms,Maine,251,7144119,3.5100000000000002
II Lymphoma and reticuloendothelial neoplasms,Maryland,894,34984232,2.5600000000000005
II Lymphoma and reticuloendothelial neoplasms,Massachusetts,1116,37580693,2.97
II Lymphoma and reticuloendothelial neoplasms,Michigan,1797,61154757,2.94
II Lymphoma and reticuloendothelial neoplasms,Minnesota,1026,33142582,3.1
II Lymphoma and reticuloendothelial neoplasms,Mississippi,361,15669603,2.3000000000000003
II Lymphoma and reticuloendothelial neoplasms,Missouri,940,36266473,2.59
II Lymphoma and reticuloendothelial neoplasms,Montana,160,5846055,2.74
II Lymphoma and reticuloendothelial neoplasms,Nebraska,342,11903430,2.87
II Lymphoma and reticuloendothelial neoplasms,Nevada,395,16014625,2.47
II Lymphoma and reticuloendothelial neoplasms,New Hampshire,239,7453487,3.2100000000000004
II Lymphoma and reticuloendothelial neoplasms,New Jersey,1686,52654520,3.2
II Lymphoma and reticuloendothelial neoplasms,New Mexico,284,12904509,2.2
II Lymphoma and reticuloendothelial neoplasms,New York,3686,113517852,3.25
II Lymphoma and reticuloendothelial neoplasms,North Carolina,1489,56649928,2.6300000000000003
II Lymphoma and reticuloendothelial neoplasms,North Dakota,119,4266274,2.79
II Lymphoma and reticuloendothelial neoplasms,Ohio,1882,70366333,2.67
II Lymphoma and reticuloendothelial neoplasms,Oklahoma,595,23756620,2.5
II Lymphoma and reticuloendothelial neoplasms,Oregon,654,22097759,2.9600000000000004
II Lymphoma and reticuloendothelial neoplasms,Pennsylvania,2094,72683727,2.8800000000000003
II Lymphoma and reticuloendothelial neoplasms,Rhode Island,164,6082080,2.7
II Lymphoma and reticuloendothelial neoplasms,South Carolina,703,27583495,2.5500000000000003
II Lymphoma and reticuloendothelial neoplasms,South Dakota,122,4834317,2.52
II Lymphoma and reticuloendothelial neoplasms,Tennessee,987,37884392,2.6100000000000003
II Lymphoma and reticuloendothelial neoplasms,Texas,4615,172599550,2.67
II Lymphoma and reticuloendothelial neoplasms,Utah,596,21588203,2.7600000000000002
II Lymphoma and reticuloendothelial neoplasms,Vermont,111,3490801,3.18
II Lymphoma and reticuloendothelial neoplasms,Virginia,1188,47413830,2.5100000000000002
II Lymphoma and reticuloendothelial neoplasms,Washington,1077,40520105,2.66
II Lymphoma and reticuloendothelial neoplasms,West Virginia,266,9950567,2.67
II Lymphoma and reticuloendothelial neoplasms,Wisconsin,984,34329682,2.87
II Lymphoma and reticuloendothelial neoplasms,Wyoming,81,3396153,2.39
II(a) Hodgkin lymphomas,Alabama,312,28877079,1.08
II(a) Hodgkin lymphomas,Alaska,50,4720625,1.06
II(a) Hodgkin lymphomas,Arizona,398,39775657,1
II(a) Hodgkin lymphomas,Arkansas,232,17898158,1.3
II(a) Hodgkin lymphomas,California,2605,236070538,1.1
II(a) Hodgkin lymphomas,Colorado,383,30887289,1.2400000000000002
II(a) Hodgkin lymphomas,Connecticut,342,20830240,1.64
II(a) Hodgkin lymphomas,Delaware,75,5268436,1.42
II(a) Hodgkin lymphomas,District of Columbia,33,3083338,1.07
II(a) Hodgkin lymphomas,Florida,1216,102863635,1.1800000000000002
II(a) Hodgkin lymphomas,Georgia,709,62011319,1.1400000000000001
II(a) Hodgkin lymphomas,Hawaii,57,7747695,0.7400000000000001
II(a) Hodgkin lymphomas,Idaho,129,10734756,1.2000000000000002
II(a) Hodgkin lymphomas,Illinois,1023,79093866,1.29
II(a) Hodgkin lymphomas,Indiana,513,37414578,1.37
II(a) Hodgkin lymphomas,Iowa,229,18924991,1.21
II(a) Hodgkin lymphomas,Kansas,207,18406535,1.1199999999999999
II(a) Hodgkin lymphomas,Kentucky,339,25974328,1.31
II(a) Hodgkin lymphomas,Louisiana,337,29086064,1.16
II(a) Hodgkin lymphomas,Maine,134,7144119,1.8800000000000001
II(a) Hodgkin lymphomas,Maryland,443,34984232,1.27
II(a) Hodgkin lymphomas,Massachusetts,547,37580693,1.46
II(a) Hodgkin lymphomas,Michigan,848,61154757,1.3900000000000001
II(a) Hodgkin lymphomas,Minnesota,445,33142582,1.34
II(a) Hodgkin lymphomas,Mississippi,165,15669603,1.05
II(a) Hodgkin lymphomas,Missouri,434,36266473,1.2000000000000002
II(a) Hodgkin lymphomas,Montana,73,5846055,1.25
II(a) Hodgkin lymphomas,Nebraska,161,11903430,1.35
II(a) Hodgkin lymphomas,Nevada,176,16014625,1.1
II(a) Hodgkin lymphomas,New Hampshire,108,7453487,1.4500000000000002
II(a) Hodgkin lymphomas,New Jersey,790,52654520,1.5
II(a) Hodgkin lymphomas,New Mexico,110,12904509,0.8500000000000001
II(a) Hodgkin lymphomas,New York,1741,113517852,1.5300000000000002
II(a) Hodgkin lymphomas,North Carolina,647,56649928,1.1400000000000001
II(a) Hodgkin lymphomas,North Dakota,61,4266274,1.4300000000000002
II(a) Hodgkin lymphomas,Ohio,896,70366333,1.27
II(a) Hodgkin lymphomas,Oklahoma,264,23756620,1.11
II(a) Hodgkin lymphomas,Oregon,291,22097759,1.32
II(a) Hodgkin lymphomas,Pennsylvania,1061,72683727,1.46
II(a) Hodgkin lymphomas,Rhode Island,97,6082080,1.59
II(a) Hodgkin lymphomas,South Carolina,322,27583495,1.17
II(a) Hodgkin lymphomas,South Dakota,53,4834317,1.1
II(a) Hodgkin lymphomas,Tennessee,453,37884392,1.2000000000000002
II(a) Hodgkin lymphomas,Texas,1892,172599550,1.1
II(a) Hodgkin lymphomas,Utah,236,21588203,1.09
II(a) Hodgkin lymphomas,Vermont,63,3490801,1.8
II(a) Hodgkin lymphomas,Virginia,565,47413830,1.1900000000000002
II(a) Hodgkin lymphomas,Washington,484,40520105,1.1900000000000002
II(a) Hodgkin lymphomas,West Virginia,135,9950567,1.36
II(a) Hodgkin lymphomas,Wisconsin,492,34329682,1.4300000000000002
II(a) Hodgkin lymphomas,Wyoming,47,3396153,1.3800000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Alabama,252,28877079,0.87
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Alaska,43,4720625,0.91
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Arizona,297,39775657,0.75
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Arkansas,197,17898158,1.1
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),California,2179,236070538,0.9199999999999999
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Colorado,262,30887289,0.8500000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Connecticut,239,20830240,1.1500000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Delaware,52,5268436,0.9900000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),District of Columbia,21,3083338,0.68
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Florida,1046,102863635,1.02
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Georgia,680,62011319,1.1
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Hawaii,81,7747695,1.05
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Idaho,94,10734756,0.8800000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Illinois,782,79093866,0.9900000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Indiana,338,37414578,0.9
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Iowa,181,18924991,0.96
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Kansas,163,18406535,0.8900000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Kentucky,230,25974328,0.8900000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Louisiana,250,29086064,0.86
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Maine,80,7144119,1.1199999999999999
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Maryland,297,34984232,0.8500000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Massachusetts,368,37580693,0.9800000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Michigan,584,61154757,0.9500000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Minnesota,339,33142582,1.02
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Mississippi,127,15669603,0.81
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Missouri,312,36266473,0.86
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Montana,49,5846055,0.8400000000000001
