cancer_site,state,sex,count,population,crude_rate_100k
I Leukemia,Ohio,Male,1668,35997390,4.63
I Leukemia,Oklahoma,Female,455,11570306,3.9299999999999997
I Leukemia,Oklahoma,Male,622,12186314,5.1000000000000005
I Leukemia,Oregon,Female,486,10773308,4.510000000000001
I Leukemia,Oregon,Male,585,11324451,5.170000000000001
I Leukemia,Pennsylvania,Female,1503,35510719,4.2299999999999995
I Leukemia,Pennsylvania,Male,1802,37173008,4.8500000000000005
I Leukemia,Rhode Island,Female,132,2983352,4.420000000000001
I Leukemia,Rhode Island,Male,161,3098728,5.2
I Leukemia,South Carolina,Female,460,13498914,3.41
I Leukemia,South Carolina,Male,591,14084581,4.2
I Leukemia,South Dakota,Female,97,2350852,4.13
I Leukemia,South Dakota,Male,117,2483465,4.71
I Leukemia,Tennessee,Female,697,18500186,3.7700000000000005
I Leukemia,Tennessee,Male,939,19384206,4.84
I Leukemia,Texas,Female,4186,84248594,4.970000000000001
I Leukemia,Texas,Male,5191,88350956,5.88
I Leukemia,Utah,Female,461,10538554,4.37
I Leukemia,Utah,Male,540,11049649,4.890000000000001
I Leukemia,Vermont,Female,72,1694835,4.25
I Leukemia,Vermont,Male,107,1795966,5.960000000000001
I Leukemia,Virginia,Female,855,23185434,3.69
I Leukemia,Virginia,Male,1048,24228396,4.33
I Leukemia,Washington,Female,848,19738654,4.3
I Leukemia,Washington,Male,1038,20781451,4.99
I Leukemia,West Virginia,Female,172,4839575,3.5500000000000003
I Leukemia,West Virginia,Male,217,5110992,4.25
I Leukemia,Wisconsin,Female,722,16755799,4.3100000000000005
I Leukemia,Wisconsin,Male,880,17573883,5.010000000000001
I Leukemia,Wyoming,Female,58,1642684,3.53
I Leukemia,Wyoming,Male,71,1753469,4.05
I(a) Lymphoid leukemias,Alabama,Female,312,14140689,2.2100000000000004
I(a) Lymphoid leukemias,Alabama,Male,410,14736390,2.7800000000000002
I(a) Lymphoid leukemias,Alaska,Female,65,2279931,2.85
I(a) Lymphoid leukemias,Alaska,Male,89,2440694,3.6500000000000004
I(a) Lymphoid leukemias,Arizona,Female,651,19406377,3.35
I(a) Lymphoid leukemias,Arizona,Male,834,20369280,4.09
I(a) Lymphoid leukemias,Arkansas,Female,211,8729058,2.42
I(a) Lymphoid leukemias,Arkansas,Male,301,9169100,3.28
I(a) Lymphoid leukemias,California,Female,4028,115078726,3.5
I(a) Lymphoid leukemias,California,Male,5447,120991812,4.5
I(a) Lymphoid leukemias,Colorado,Female,451,15025190,3
I(a) Lymphoid leukemias,Colorado,Male,611,15862099,3.85
I(a) Lymphoid leukemias,Connecticut,Female,287,10175364,2.8200000000000003
I(a) Lymphoid leukemias,Connecticut,Male,367,10654876,3.44
I(a) Lymphoid leukemias,Delaware,Female,71,2591476,2.74
I(a) Lymphoid leukemias,Delaware,Male,100,2676960,3.74
I(a) Lymphoid leukemias,District of Columbia,Female,26,1550069,1.6800000000000002
I(a) Lymphoid leukemias,District of Columbia,Male,62,1533269,4.04
I(a) Lymphoid leukemias,Florida,Female,1452,50182775,2.89
I(a) Lymphoid leukemias,Florida,Male,2055,52680860,3.9000000000000004
I(a) Lymphoid leukemias,Georgia,Female,776,30321686,2.5600000000000005
I(a) Lymphoid leukemias,Georgia,Male,986,31689633,3.1100000000000003
I(a) Lymphoid leukemias,Hawaii,Female,117,3750270,3.12
I(a) Lymphoid leukemias,Hawaii,Male,123,3997425,3.08
I(a) Lymphoid leukemias,Idaho,Female,145,5258478,2.7600000000000002
I(a) Lymphoid leukemias,Idaho,Male,209,5476278,3.8200000000000003
I(a) Lymphoid leukemias,Illinois,Female,1181,38604523,3.0600000000000005
I(a) Lymphoid leukemias,Illinois,Male,1579,40489343,3.9000000000000004
I(a) Lymphoid leukemias,Indiana,Female,507,18245506,2.7800000000000002
I(a) Lymphoid leukemias,Indiana,Male,669,19169072,3.49
I(a) Lymphoid leukemias,Iowa,Female,264,9228398,2.8600000000000003
I(a) Lymphoid leukemias,Iowa,Male,333,9696593,3.4299999999999997
I(a) Lymphoid leukemias,Kansas,Female,250,8950919,2.79
I(a) Lymphoid leukemias,Kansas,Male,335,9455616,3.54
I(a) Lymphoid leukemias,Kentucky,Female,328,12645562,2.59
I(a) Lymphoid leukemias,Kentucky,Male,491,13328766,3.6799999999999997
I(a) Lymphoid leukemias,Louisiana,Female,318,14259277,2.23
I(a) Lymphoid leukemias,Louisiana,Male,453,14826787,3.0600000000000005
I(a) Lymphoid leukemias,Maine,Female,107,3472550,3.08
I(a) Lymphoid leukemias,Maine,Male,143,3671569,3.89
I(a) Lymphoid leukemias,Maryland,Female,397,17122384,2.32
I(a) Lymphoid leukemias,Maryland,Male,538,17861848,3.0100000000000002
I(a) Lymphoid leukemias,Massachusetts,Female,526,18423690,2.8600000000000003
I(a) Lymphoid leukemias,Massachusetts,Male,671,19157003,3.5
I(a) Lymphoid leukemias,Michigan,Female,795,29825800,2.67
I(a) Lymphoid leukemias,Michigan,Male,1014,31328957,3.24
I(a) Lymphoid leukemias,Minnesota,Female,500,16188565,3.09
I(a) Lymphoid leukemias,Minnesota,Male,606,16954017,3.5700000000000003
I(a) Lymphoid leukemias,Mississippi,Female,165,7683130,2.15
I(a) Lymphoid leukemias,Mississippi,Male,236,7986473,2.95
I(a) Lymphoid leukemias,Missouri,Female,453,17691930,2.5600000000000005
I(a) Lymphoid leukemias,Missouri,Male,581,18574543,3.1300000000000003
I(a) Lymphoid leukemias,Montana,Female,75,2835131,2.6500000000000004
I(a) Lymphoid leukemias,Montana,Male,104,3010924,3.45
I(a) Lymphoid leukemias,Nebraska,Female,165,5805706,2.84
I(a) Lymphoid leukemias,Nebraska,Male,203,6097724,3.33
I(a) Lymphoid leukemias,Nevada,Female,245,7794272,3.14
I(a) Lymphoid leukemias,Nevada,Male,351,8220353,4.2700000000000005
I(a) Lymphoid leukemias,New Hampshire,Female,115,3642488,3.16
I(a) Lymphoid leukemias,New Hampshire,Male,127,3810999,3.33
I(a) Lymphoid leukemias,New Jersey,Female,811,25677915,3.16
I(a) Lymphoid leukemias,New Jersey,Male,1032,26976605,3.83
I(a) Lymphoid leukemias,New Mexico,Female,199,6321366,3.1500000000000004
I(a) Lymphoid leukemias,New Mexico,Male,299,6583143,4.54
I(a) Lymphoid leukemias,New York,Female,1572,55453325,2.83
I(a) Lymphoid leukemias,New York,Male,2084,58064527,3.59
I(a) Lymphoid leukemias,North Carolina,Female,706,27670201,2.5500000000000003
I(a) Lymphoid leukemias,North Carolina,Male,1035,28979727,3.5700000000000003
I(a) Lymphoid leukemias,North Dakota,Female,54,2071886,2.6100000000000003
I(a) Lymphoid leukemias,North Dakota,Male,89,2194388,4.0600000000000005
I(a) Lymphoid leukemias,Ohio,Female,895,34368943,2.6
I(a) Lymphoid leukemias,Ohio,Male,1220,35997390,3.39
I(a) Lymphoid leukemias,Oklahoma,Female,313,11570306,2.7100000000000004
I(a) Lymphoid leukemias,Oklahoma,Male,465,12186314,3.8200000000000003
I(a) Lymphoid leukemias,Oregon,Female,367,10773308,3.41
I(a) Lymphoid leukemias,Oregon,Male,446,11324451,3.94
I(a) Lymphoid leukemias,Pennsylvania,Female,1047,35510719,2.95
I(a) Lymphoid leukemias,Pennsylvania,Male,1346,37173008,3.6200000000000006
I(a) Lymphoid leukemias,Rhode Island,Female,87,2983352,2.92
I(a) Lymphoid leukemias,Rhode Island,Male,107,3098728,3.45
I(a) Lymphoid leukemias,South Carolina,Female,315,13498914,2.33
I(a) Lymphoid leukemias,South Carolina,Male,429,14084581,3.0500000000000003
I(a) Lymphoid leukemias,South Dakota,Female,70,2350852,2.9800000000000004
I(a) Lymphoid leukemias,South Dakota,Male,81,2483465,3.2600000000000002
I(a) Lymphoid leukemias,Tennessee,Female,495,18500186,2.68
I(a) Lymphoid leukemias,Tennessee,Male,681,19384206,3.5100000000000002
I(a) Lymphoid leukemias,Texas,Female,2921,84248594,3.4700000000000006
I(a) Lymphoid leukemias,Texas,Male,3751,88350956,4.25
I(a) Lymphoid leukemias,Utah,Female,333,10538554,3.16
I(a) Lymphoid leukemias,Utah,Male,401,11049649,3.63
I(a) Lymphoid leukemias,Vermont,Female,53,1694835,3.1300000000000003
I(a) Lymphoid leukemias,Vermont,Male,83,1795966,4.62
I(a) Lymphoid leukemias,Virginia,Female,623,23185434,2.69
I(a) Lymphoid leukemias,Virginia,Male,759,24228396,3.1300000000000003
I(a) Lymphoid leukemias,Washington,Female,618,19738654,3.1300000000000003
I(a) Lymphoid leukemias,Washington,Male,774,20781451,3.7200000000000006
I(a) Lymphoid leukemias,West Virginia,Female,117,4839575,2.42
I(a) Lymphoid leukemias,West Virginia,Male,155,5110992,3.0300000000000002
I(a) Lymphoid leukemias,Wisconsin,Female,509,16755799,3.04
I(a) Lymphoid leukemias,Wisconsin,Male,653,17573883,3.7200000000000006
I(a) Lymphoid leukemias,Wyoming,Female,51,1642684,3.1
I(a) Lymphoid leukemias,Wyoming,Male,55,1753469,3.14
I(b) Acute myeloid leukemias,Alabama,Female,96,14140689,0.68
I(b) Acute myeloid leukemias,Alabama,Male,117,14736390,0.79
I(b) Acute myeloid leukemias,Alaska,Female,20,2279931,0.8800000000000001
I(b) Acute myeloid leukemias,Alaska,Male,22,2440694,0.9
I(b) Acute myeloid leukemias,Arizona,Female,154,19406377,0.79
I(b) Acute myeloid leukemias,Arizona,Male,151,20369280,0.7400000000000001
I(b) Acute myeloid leukemias,Arkansas,Female,70,8729058,0.8
I(b) Acute myeloid leukemias,Arkansas,Male,64,9169100,0.7000000000000001
I(b) Acute myeloid leukemias,California,Female,977,115078726,0.8500000000000001
I(b) Acute myeloid leukemias,California,Male,1158,120991812,0.96
I(b) Acute myeloid leukemias,Colorado,Female,104,15025190,0.6900000000000001
I(b) Acute myeloid leukemias,Colorado,Male,135,15862099,0.8500000000000001
I(b) Acute myeloid leukemias,Connecticut,Female,66,10175364,0.65
I(b) Acute myeloid leukemias,Connecticut,Male,90,10654876,0.8400000000000001
I(b) Acute myeloid leukemias,Delaware,Male,28,2676960,1.05
I(b) Acute myeloid leukemias,Florida,Female,435,50182775,0.87
I(b) Acute myeloid leukemias,Florida,Male,460,52680860,0.87
I(b) Acute myeloid leukemias,Georgia,Female,270,30321686,0.8900000000000001
I(b) Acute myeloid leukemias,Georgia,Male,250,31689633,0.79
I(b) Acute myeloid leukemias,Hawaii,Female,46,3750270,1.2300000000000002
I(b) Acute myeloid leukemias,Hawaii,Male,44,3997425,1.1
I(b) Acute myeloid leukemias,Idaho,Female,31,5258478,0.5900000000000001
I(b) Acute myeloid leukemias,Idaho,Male,36,5476278,0.66
I(b) Acute myeloid leukemias,Illinois,Female,301,38604523,0.78
I(b) Acute myeloid leukemias,Illinois,Male,334,40489343,0.82
I(b) Acute myeloid leukemias,Indiana,Female,143,18245506,0.78
I(b) Acute myeloid leukemias,Indiana,Male,155,19169072,0.81
I(b) Acute myeloid leukemias,Iowa,Female,68,9228398,0.7400000000000001
I(b) Acute myeloid leukemias,Iowa,Male,76,9696593,0.78
I(b) Acute myeloid leukemias,Kansas,Female,61,8950919,0.68
I(b) Acute myeloid leukemias,Kansas,Male,77,9455616,0.81
I(b) Acute myeloid leukemias,Kentucky,Female,92,12645562,0.73
I(b) Acute myeloid leukemias,Kentucky,Male,97,13328766,0.73
I(b) Acute myeloid leukemias,Louisiana,Female,119,14259277,0.8300000000000001
I(b) Acute myeloid leukemias,Louisiana,Male,125,14826787,0.8400000000000001
I(b) Acute myeloid leukemias,Maine,Female,26,3472550,0.75
I(b) Acute myeloid leukemias,Maine,Male,34,3671569,0.9300000000000002
I(b) Acute myeloid leukemias,Maryland,Female,128,17122384,0.75
I(b) Acute myeloid leukemias,Maryland,Male,137,17861848,0.77
I(b) Acute myeloid leukemias,Massachusetts,Female,145,18423690,0.79
I(b) Acute myeloid leukemias,Massachusetts,Male,132,19157003,0.6900000000000001
I(b) Acute myeloid leukemias,Michigan,Female,228,29825800,0.76
I(b) Acute myeloid leukemias,Michigan,Male,271,31328957,0.87
I(b) Acute myeloid leukemias,Minnesota,Female,130,16188565,0.8
I(b) Acute myeloid leukemias,Minnesota,Male,128,16954017,0.75
I(b) Acute myeloid leukemias,Mississippi,Female,56,7683130,0.73
I(b) Acute myeloid leukemias,Mississippi,Male,56,7986473,0.7000000000000001
I(b) Acute myeloid leukemias,Missouri,Female,133,17691930,0.75
I(b) Acute myeloid leukemias,Missouri,Male,140,18574543,0.75
I(b) Acute myeloid leukemias,Montana,Female,19,2835131,0.67
I(b) Acute myeloid leukemias,Montana,Male,27,3010924,0.9
I(b) Acute myeloid leukemias,Nebraska,Female,46,5805706,0.79
I(b) Acute myeloid leukemias,Nebraska,Male,59,6097724,0.97
I(b) Acute myeloid leukemias,Nevada,Female,54,7794272,0.6900000000000001
I(b) Acute myeloid leukemias,Nevada,Male,80,8220353,0.97
I(b) Acute myeloid leukemias,New Hampshire,Female,28,3642488,0.77
I(b) Acute myeloid leukemias,New Hampshire,Male,28,3810999,0.73
I(b) Acute myeloid leukemias,New Jersey,Female,191,25677915,0.7400000000000001
I(b) Acute myeloid leukemias,New Jersey,Male,233,26976605,0.86
I(b) Acute myeloid leukemias,New Mexico,Female,40,6321366,0.63
I(b) Acute myeloid leukemias,New Mexico,Male,55,6583143,0.8400000000000001
I(b) Acute myeloid leukemias,New York,Female,450,55453325,0.81
I(b) Acute myeloid leukemias,New York,Male,495,58064527,0.8500000000000001
I(b) Acute myeloid leukemias,North Carolina,Female,210,27670201,0.76
I(b) Acute myeloid leukemias,North Carolina,Male,229,28979727,0.79
I(b) Acute myeloid leukemias,Ohio,Female,245,34368943,0.71
I(b) Acute myeloid leukemias,Ohio,Male,282,35997390,0.78
I(b) Acute myeloid leukemias,Oklahoma,Female,92,11570306,0.8
I(b) Acute myeloid leukemias,Oklahoma,Male,105,12186314,0.86
I(b) Acute myeloid leukemias,Oregon,Female,81,10773308,0.75
I(b) Acute myeloid leukemias,Oregon,Male,88,11324451,0.78
I(b) Acute myeloid leukemias,Pennsylvania,Female,288,35510719,0.81
I(b) Acute myeloid leukemias,Pennsylvania,Male,298,37173008,0.8
I(b) Acute myeloid leukemias,Rhode Island,Female,27,2983352,0.91
I(b) Acute myeloid leukemias,Rhode Island,Male,30,3098728,0.97
I(b) Acute myeloid leukemias,South Carolina,Female,94,13498914,0.7000000000000001
I(b) Acute myeloid leukemias,South Carolina,Male,105,14084581,0.75
I(b) Acute myeloid leukemias,South Dakota,Female,19,2350852,0.81
I(b) Acute myeloid leukemias,South Dakota,Male,22,2483465,0.8900000000000001
I(b) Acute myeloid leukemias,Tennessee,Female,128,18500186,0.6900000000000001
I(b) Acute myeloid leukemias,Tennessee,Male,151,19384206,0.78
I(b) Acute myeloid leukemias,Texas,Female,659,84248594,0.78
I(b) Acute myeloid leukemias,Texas,Male,743,88350956,0.8400000000000001
I(b) Acute myeloid leukemias,Utah,Female,93,10538554,0.8800000000000001
I(b) Acute myeloid leukemias,Utah,Male,94,11049649,0.8500000000000001
I(b) Acute myeloid leukemias,Vermont,Male,16,1795966,0.8900000000000001
I(b) Acute myeloid leukemias,Virginia,Female,161,23185434,0.6900000000000001
I(b) Acute myeloid leukemias,Virginia,Male,191,24228396,0.79
I(b) Acute myeloid leukemias,Washington,Female,154,19738654,0.78
I(b) Acute myeloid leukemias,Washington,Male,169,20781451,0.81
I(b) Acute myeloid leukemias,West Virginia,Female,36,4839575,0.7400000000000001
I(b) Acute myeloid leukemias,West Virginia,Male,39,5110992,0.76
I(b) Acute myeloid leukemias,Wisconsin,Female,150,16755799,0.9
I(b) Acute myeloid leukemias,Wisconsin,Male,151,17573883,0.86
I(c) Chronic myeloproliferative diseases,Alabama,Female,64,14140689,0.45
I(c) Chronic myeloproliferative diseases,Alabama,Male,68,14736390,0.45999999999999996
I(c) Chronic myeloproliferative diseases,Arizona,Female,38,19406377,0.2
I(c) Chronic myeloproliferative diseases,Arizona,Male,50,20369280,0.25
I(c) Chronic myeloproliferative diseases,Arkansas,Female,18,8729058,0.21000000000000002
I(c) Chronic myeloproliferative diseases,Arkansas,Male,18,9169100,0.2
I(c) Chronic myeloproliferative diseases,California,Female,207,115078726,0.18000000000000002
I(c) Chronic myeloproliferative diseases,California,Male,260,120991812,0.21000000000000002
I(c) Chronic myeloproliferative diseases,Colorado,Female,19,15025190,0.13
I(c) Chronic myeloproliferative diseases,Colorado,Male,33,15862099,0.21000000000000002
I(c) Chronic myeloproliferative diseases,Connecticut,Male,24,10654876,0.22999999999999998
I(c) Chronic myeloproliferative diseases,Florida,Female,168,50182775,0.33
I(c) Chronic myeloproliferative diseases,Florida,Male,155,52680860,0.29
I(c) Chronic myeloproliferative diseases,Georgia,Female,79,30321686,0.26
I(c) Chronic myeloproliferative diseases,Georgia,Male,74,31689633,0.22999999999999998
I(c) Chronic myeloproliferative diseases,Illinois,Female,66,38604523,0.17
I(c) Chronic myeloproliferative diseases,Illinois,Male,78,40489343,0.19
I(c) Chronic myeloproliferative diseases,Indiana,Female,21,18245506,0.12
I(c) Chronic myeloproliferative diseases,Indiana,Male,31,19169072,0.16000000000000003
I(c) Chronic myeloproliferative diseases,Iowa,Female,25,9228398,0.27
I(c) Chronic myeloproliferative diseases,Kansas,Female,24,8950919,0.27
I(c) Chronic myeloproliferative diseases,Kansas,Male,17,9455616,0.18000000000000002
I(c) Chronic myeloproliferative diseases,Kentucky,Female,24,12645562,0.19
I(c) Chronic myeloproliferative diseases,Kentucky,Male,22,13328766,0.17
I(c) Chronic myeloproliferative diseases,Louisiana,Female,25,14259277,0.18000000000000002
I(c) Chronic myeloproliferative diseases,Louisiana,Male,31,14826787,0.21000000000000002
I(c) Chronic myeloproliferative diseases,Maryland,Female,27,17122384,0.16000000000000003
I(c) Chronic myeloproliferative diseases,Maryland,Male,35,17861848,0.2
I(c) Chronic myeloproliferative diseases,Massachusetts,Female,35,18423690,0.19
I(c) Chronic myeloproliferative diseases,Massachusetts,Male,37,19157003,0.19
I(c) Chronic myeloproliferative diseases,Michigan,Female,54,29825800,0.18000000000000002
I(c) Chronic myeloproliferative diseases,Michigan,Male,64,31328957,0.2
I(c) Chronic myeloproliferative diseases,Minnesota,Female,34,16188565,0.21000000000000002
I(c) Chronic myeloproliferative diseases,Minnesota,Male,25,16954017,0.15000000000000002
I(c) Chronic myeloproliferative diseases,Mississippi,Female,18,7683130,0.22999999999999998
I(c) Chronic myeloproliferative diseases,Mississippi,Male,24,7986473,0.30000000000000004
I(c) Chronic myeloproliferative diseases,Missouri,Female,25,17691930,0.13999999999999999
I(c) Chronic myeloproliferative diseases,Missouri,Male,19,18574543,0.1
I(c) Chronic myeloproliferative diseases,Nevada,Male,17,8220353,0.21000000000000002
I(c) Chronic myeloproliferative diseases,New Jersey,Female,69,25677915,0.27
I(c) Chronic myeloproliferative diseases,New Jersey,Male,73,26976605,0.27
I(c) Chronic myeloproliferative diseases,New Mexico,Male,21,6583143,0.32000000000000006
I(c) Chronic myeloproliferative diseases,New York,Female,190,55453325,0.34
I(c) Chronic myeloproliferative diseases,New York,Male,190,58064527,0.33
I(c) Chronic myeloproliferative diseases,North Carolina,Female,60,27670201,0.22000000000000003
I(c) Chronic myeloproliferative diseases,North Carolina,Male,61,28979727,0.21000000000000002
I(c) Chronic myeloproliferative diseases,Ohio,Female,64,34368943,0.19
I(c) Chronic myeloproliferative diseases,Ohio,Male,73,35997390,0.2
I(c) Chronic myeloproliferative diseases,Oklahoma,Female,20,11570306,0.17
I(c) Chronic myeloproliferative diseases,Oklahoma,Male,27,12186314,0.22000000000000003
I(c) Chronic myeloproliferative diseases,Oregon,Male,23,11324451,0.2
I(c) Chronic myeloproliferative diseases,Pennsylvania,Female,96,35510719,0.27
I(c) Chronic myeloproliferative diseases,Pennsylvania,Male,81,37173008,0.22000000000000003
I(c) Chronic myeloproliferative diseases,South Carolina,Female,25,13498914,0.19
I(c) Chronic myeloproliferative diseases,South Carolina,Male,30,14084581,0.21000000000000002
I(c) Chronic myeloproliferative diseases,Tennessee,Female,36,18500186,0.19
I(c) Chronic myeloproliferative diseases,Tennessee,Male,50,19384206,0.26
I(c) Chronic myeloproliferative diseases,Texas,Female,301,84248594,0.36000000000000004
I(c) Chronic myeloproliferative diseases,Texas,Male,350,88350956,0.4
I(c) Chronic myeloproliferative diseases,Utah,Female,24,10538554,0.22999999999999998
I(c) Chronic myeloproliferative diseases,Utah,Male,18,11049649,0.16000000000000003
I(c) Chronic myeloproliferative diseases,Virginia,Female,30,23185434,0.13
I(c) Chronic myeloproliferative diseases,Virginia,Male,38,24228396,0.16000000000000003
I(c) Chronic myeloproliferative diseases,Washington,Female,27,19738654,0.13999999999999999
I(c) Chronic myeloproliferative diseases,Washington,Male,45,20781451,0.22000000000000003
I(c) Chronic myeloproliferative diseases,Wisconsin,Female,29,16755799,0.17
I(c) Chronic myeloproliferative diseases,Wisconsin,Male,36,17573883,0.2
I(d) Myelodysplastic syndrome and other myeloproliferative,Arizona,Female,25,19406377,0.13
I(d) Myelodysplastic syndrome and other myeloproliferative,Arizona,Male,28,20369280,0.13999999999999999
I(d) Myelodysplastic syndrome and other myeloproliferative,California,Female,133,115078726,0.12
I(d) Myelodysplastic syndrome and other myeloproliferative,California,Male,165,120991812,0.13999999999999999
I(d) Myelodysplastic syndrome and other myeloproliferative,Colorado,Female,16,15025190,0.11000000000000001
I(d) Myelodysplastic syndrome and other myeloproliferative,District of Columbia,Female,0,1550069,0
I(d) Myelodysplastic syndrome and other myeloproliferative,Florida,Female,62,50182775,0.12
I(d) Myelodysplastic syndrome and other myeloproliferative,Florida,Male,79,52680860,0.15000000000000002
I(d) Myelodysplastic syndrome and other myeloproliferative,Georgia,Female,34,30321686,0.11000000000000001
I(d) Myelodysplastic syndrome and other myeloproliferative,Georgia,Male,62,31689633,0.2
I(d) Myelodysplastic syndrome and other myeloproliferative,Illinois,Female,35,38604523,0.09000000000000001
I(d) Myelodysplastic syndrome and other myeloproliferative,Illinois,Male,48,40489343,0.12
I(d) Myelodysplastic syndrome and other myeloproliferative,Indiana,Female,18,18245506,0.1
I(d) Myelodysplastic syndrome and other myeloproliferative,Indiana,Male,22,19169072,0.11000000000000001
I(d) Myelodysplastic syndrome and other myeloproliferative,Iowa,Male,21,9696593,0.22000000000000003
I(d) Myelodysplastic syndrome and other myeloproliferative,Kansas,Female,18,8950919,0.2
I(d) Myelodysplastic syndrome and other myeloproliferative,Kentucky,Male,18,13328766,0.13999999999999999
I(d) Myelodysplastic syndrome and other myeloproliferative,Louisiana,Female,25,14259277,0.18000000000000002
I(d) Myelodysplastic syndrome and other myeloproliferative,Louisiana,Male,33,14826787,0.22000000000000003
I(d) Myelodysplastic syndrome and other myeloproliferative,Maryland,Male,26,17861848,0.15000000000000002
I(d) Myelodysplastic syndrome and other myeloproliferative,Massachusetts,Male,16,19157003,0.08000000000000002
I(d) Myelodysplastic syndrome and other myeloproliferative,Michigan,Female,52,29825800,0.17
I(d) Myelodysplastic syndrome and other myeloproliferative,Michigan,Male,59,31328957,0.19
I(d) Myelodysplastic syndrome and other myeloproliferative,Minnesota,Female,19,16188565,0.12
I(d) Myelodysplastic syndrome and other myeloproliferative,Minnesota,Male,28,16954017,0.17
I(d) Myelodysplastic syndrome and other myeloproliferative,Missouri,Female,18,17691930,0.1
I(d) Myelodysplastic syndrome and other myeloproliferative,Missouri,Male,21,18574543,0.11000000000000001
I(d) Myelodysplastic syndrome and other myeloproliferative,Nebraska,Male,16,6097724,0.26
I(d) Myelodysplastic syndrome and other myeloproliferative,New Jersey,Female,33,25677915,0.13
I(d) Myelodysplastic syndrome and other myeloproliferative,New Jersey,Male,51,26976605,0.19
I(d) Myelodysplastic syndrome and other myeloproliferative,New York,Female,94,55453325,0.17
