cancer_site,state,age_group,count,population,crude_rate_100k
I Leukemia,Hawaii,1-4 years,135,1581086,8.540000000000001
I Leukemia,Hawaii,10-14 years,63,1938369,3.25
I Leukemia,Hawaii,15-19 years,62,1897963,3.2700000000000005
I Leukemia,Hawaii,5-9 years,69,1924686,3.59
I Leukemia,Hawaii,< 1 year,25,405591,6.16
I Leukemia,Idaho,1-4 years,184,2064110,8.91
I Leukemia,Idaho,10-14 years,79,2734366,2.89
I Leukemia,Idaho,15-19 years,78,2784229,2.8000000000000003
I Leukemia,Idaho,5-9 years,102,2642295,3.8600000000000003
I Leukemia,Idaho,< 1 year,21,509756,4.12
I Leukemia,Illinois,1-4 years,1376,15118124,9.1
I Leukemia,Illinois,10-14 years,648,20314300,3.19
I Leukemia,Illinois,15-19 years,680,20552912,3.3100000000000005
I Leukemia,Illinois,5-9 years,862,19386015,4.45
I Leukemia,Illinois,< 1 year,147,3722515,3.95
I Leukemia,Indiana,1-4 years,591,7153917,8.26
I Leukemia,Indiana,10-14 years,263,9533841,2.7600000000000002
I Leukemia,Indiana,15-19 years,288,9778770,2.95
I Leukemia,Indiana,5-9 years,363,9181922,3.95
I Leukemia,Indiana,< 1 year,91,1766128,5.15
I Leukemia,Iowa,1-4 years,329,3575940,9.200000000000001
I Leukemia,Iowa,10-14 years,125,4785289,2.6100000000000003
I Leukemia,Iowa,15-19 years,148,5091669,2.91
I Leukemia,Iowa,5-9 years,184,4589946,4.010000000000001
I Leukemia,Iowa,< 1 year,29,882147,3.29
I Leukemia,Kansas,1-4 years,342,3564818,9.590000000000002
I Leukemia,Kansas,10-14 years,114,4648026,2.45
I Leukemia,Kansas,15-19 years,135,4781351,2.8200000000000003
I Leukemia,Kansas,5-9 years,177,4528480,3.91
I Leukemia,Kansas,< 1 year,47,883860,5.32
I Leukemia,Kentucky,1-4 years,474,5029496,9.42
I Leukemia,Kentucky,10-14 years,160,6602154,2.42
I Leukemia,Kentucky,15-19 years,195,6699792,2.91
I Leukemia,Kentucky,5-9 years,236,6386273,3.7
I Leukemia,Kentucky,< 1 year,53,1256613,4.220000000000001
I Leukemia,Louisiana,1-4 years,438,5667613,7.73
I Leukemia,Louisiana,10-14 years,208,7362307,2.83
I Leukemia,Louisiana,15-19 years,224,7540189,2.97
I Leukemia,Louisiana,5-9 years,228,7096224,3.2100000000000004
I Leukemia,Louisiana,< 1 year,67,1419731,4.720000000000001
I Leukemia,Maine,1-4 years,120,1254194,9.57
I Leukemia,Maine,10-14 years,61,1881419,3.24
I Leukemia,Maine,15-19 years,53,2008427,2.64
I Leukemia,Maine,5-9 years,85,1698544,5
I Leukemia,Maine,< 1 year,16,301535,5.3100000000000005
I Leukemia,Maryland,1-4 years,483,6696858,7.21
I Leukemia,Maryland,10-14 years,265,9029000,2.93
I Leukemia,Maryland,15-19 years,238,9046383,2.6300000000000003
I Leukemia,Maryland,5-9 years,313,8544521,3.66
I Leukemia,Maryland,< 1 year,61,1667470,3.66
I Leukemia,Massachusetts,1-4 years,617,6855880,9
I Leukemia,Massachusetts,10-14 years,273,9547360,2.8600000000000003
I Leukemia,Massachusetts,15-19 years,276,10537941,2.62
I Leukemia,Massachusetts,5-9 years,329,8944247,3.6799999999999997
I Leukemia,Massachusetts,< 1 year,98,1695265,5.78
I Leukemia,Michigan,1-4 years,965,11239256,8.590000000000002
I Leukemia,Michigan,10-14 years,449,15899361,2.8200000000000003
I Leukemia,Michigan,15-19 years,458,16468910,2.7800000000000002
I Leukemia,Michigan,5-9 years,569,14824040,3.84
I Leukemia,Michigan,< 1 year,154,2723190,5.66
I Leukemia,Minnesota,1-4 years,596,6364337,9.36
I Leukemia,Minnesota,10-14 years,238,8473091,2.8100000000000005
I Leukemia,Minnesota,15-19 years,258,8600532,3
I Leukemia,Minnesota,5-9 years,349,8134262,4.29
I Leukemia,Minnesota,< 1 year,67,1570360,4.2700000000000005
I Leukemia,Mississippi,1-4 years,200,2996593,6.670000000000001
I Leukemia,Mississippi,10-14 years,114,4000675,2.85
I Leukemia,Mississippi,15-19 years,102,4133405,2.47
I Leukemia,Mississippi,5-9 years,133,3796934,3.5
I Leukemia,Mississippi,< 1 year,32,741996,4.3100000000000005
I Leukemia,Missouri,1-4 years,583,6903905,8.440000000000001
I Leukemia,Missouri,10-14 years,220,9282197,2.37
I Leukemia,Missouri,15-19 years,240,9524258,2.52
I Leukemia,Missouri,5-9 years,304,8840403,3.44
I Leukemia,Missouri,< 1 year,70,1715710,4.08
I Leukemia,Montana,1-4 years,98,1092655,8.97
I Leukemia,Montana,10-14 years,51,1497266,3.41
I Leukemia,Montana,15-19 years,44,1575496,2.79
I Leukemia,Montana,5-9 years,58,1411941,4.11
I Leukemia,Nebraska,1-4 years,205,2342070,8.75
I Leukemia,Nebraska,10-14 years,81,2984179,2.7100000000000004
I Leukemia,Nebraska,15-19 years,110,3070717,3.58
I Leukemia,Nebraska,5-9 years,108,2921459,3.7
I Leukemia,Nebraska,< 1 year,26,585005,4.44
I Leukemia,Nevada,1-4 years,330,3221928,10.240000000000002
I Leukemia,Nevada,10-14 years,131,4107600,3.19
I Leukemia,Nevada,15-19 years,149,3865198,3.85
I Leukemia,Nevada,5-9 years,179,4022790,4.45
I Leukemia,Nevada,< 1 year,50,797109,6.2700000000000005
I Leukemia,New Hampshire,1-4 years,114,1293526,8.81
I Leukemia,New Hampshire,10-14 years,65,1973487,3.29
I Leukemia,New Hampshire,15-19 years,66,2108547,3.1300000000000003
I Leukemia,New Hampshire,5-9 years,70,1771669,3.95
I Leukemia,New Jersey,1-4 years,906,10070580,9
I Leukemia,New Jersey,10-14 years,493,13700943,3.6
I Leukemia,New Jersey,15-19 years,458,13405538,3.4200000000000004
I Leukemia,New Jersey,5-9 years,565,13015487,4.34
I Leukemia,New Jersey,< 1 year,142,2461972,5.7700000000000005
I Leukemia,New Mexico,1-4 years,223,2458592,9.07
I Leukemia,New Mexico,10-14 years,119,3311369,3.59
I Leukemia,New Mexico,15-19 years,130,3384754,3.84
I Leukemia,New Mexico,5-9 years,156,3143697,4.960000000000001
I Leukemia,New Mexico,< 1 year,30,606097,4.95
I Leukemia,New York,1-4 years,1884,21659417,8.700000000000001
I Leukemia,New York,10-14 years,911,28734343,3.17
I Leukemia,New York,15-19 years,1058,30230461,3.5
I Leukemia,New York,5-9 years,1146,27394347,4.18
I Leukemia,New York,< 1 year,287,5499284,5.220000000000001
I Leukemia,North Carolina,1-4 years,890,10909376,8.16
I Leukemia,North Carolina,10-14 years,470,14407853,3.2600000000000002
I Leukemia,North Carolina,15-19 years,406,14736669,2.7600000000000002
I Leukemia,North Carolina,5-9 years,532,13869469,3.84
I Leukemia,North Carolina,< 1 year,128,2726561,4.69
I Leukemia,North Dakota,1-4 years,65,836898,7.7700000000000005
I Leukemia,North Dakota,10-14 years,30,1030719,2.91
I Leukemia,North Dakota,15-19 years,33,1168114,2.83
I Leukemia,North Dakota,5-9 years,40,1017872,3.9299999999999997
I Leukemia,Ohio,1-4 years,1129,13214951,8.540000000000001
I Leukemia,Ohio,10-14 years,511,18150108,2.8200000000000003
I Leukemia,Ohio,15-19 years,543,18587275,2.92
I Leukemia,Ohio,5-9 years,621,17175827,3.6200000000000006
I Leukemia,Ohio,< 1 year,142,3238172,4.39
I Leukemia,Oklahoma,1-4 years,384,4644900,8.270000000000001
I Leukemia,Oklahoma,10-14 years,160,5972495,2.68
I Leukemia,Oklahoma,15-19 years,206,6135620,3.3600000000000003
I Leukemia,Oklahoma,5-9 years,270,5843456,4.62
I Leukemia,Oklahoma,< 1 year,57,1160149,4.91
I Leukemia,Oregon,1-4 years,426,4209979,10.120000000000001
I Leukemia,Oregon,10-14 years,177,5655555,3.1300000000000003
I Leukemia,Oregon,15-19 years,172,5791934,2.97
I Leukemia,Oregon,5-9 years,241,5412215,4.45
I Leukemia,Oregon,< 1 year,55,1028076,5.3500000000000005
I Leukemia,Pennsylvania,1-4 years,1237,13237901,9.340000000000002
I Leukemia,Pennsylvania,10-14 years,562,18713236,3
I Leukemia,Pennsylvania,15-19 years,624,20112434,3.1
I Leukemia,Pennsylvania,5-9 years,719,17378898,4.14
I Leukemia,Pennsylvania,< 1 year,163,3241258,5.03
I Leukemia,Rhode Island,1-4 years,98,1081993,9.06
I Leukemia,Rhode Island,10-14 years,57,1521467,3.75
I Leukemia,Rhode Island,15-19 years,56,1794833,3.12
I Leukemia,Rhode Island,5-9 years,73,1420502,5.140000000000001
I Leukemia,South Carolina,1-4 years,385,5226958,7.370000000000001
I Leukemia,South Carolina,10-14 years,187,7014106,2.67
I Leukemia,South Carolina,15-19 years,209,7346855,2.84
I Leukemia,South Carolina,5-9 years,221,6693916,3.3000000000000003
I Leukemia,South Carolina,< 1 year,49,1301660,3.7600000000000002
I Leukemia,South Dakota,1-4 years,78,962224,8.11
I Leukemia,South Dakota,10-14 years,34,1201910,2.83
I Leukemia,South Dakota,15-19 years,39,1242334,3.14
I Leukemia,South Dakota,5-9 years,49,1185915,4.13
I Leukemia,Tennessee,1-4 years,650,7296317,8.91
I Leukemia,Tennessee,10-14 years,270,9701894,2.7800000000000002
I Leukemia,Tennessee,15-19 years,306,9750953,3.14
I Leukemia,Tennessee,5-9 years,339,9318316,3.64
I Leukemia,Tennessee,< 1 year,71,1816912,3.91
I Leukemia,Texas,1-4 years,3356,34339586,9.770000000000001
I Leukemia,Texas,10-14 years,1730,43696950,3.9600000000000004
I Leukemia,Texas,15-19 years,1668,43234905,3.8600000000000003
I Leukemia,Texas,5-9 years,2056,42752621,4.8100000000000005
I Leukemia,Texas,< 1 year,567,8575488,6.609999999999999
I Leukemia,Utah,1-4 years,409,4441432,9.209999999999999
I Leukemia,Utah,10-14 years,146,5325797,2.74
I Leukemia,Utah,15-19 years,185,5284552,3.5
I Leukemia,Utah,5-9 years,197,5408434,3.64
I Leukemia,Utah,< 1 year,64,1127988,5.670000000000001
I Leukemia,Vermont,1-4 years,58,587023,9.88
I Leukemia,Vermont,10-14 years,32,902253,3.5500000000000003
I Leukemia,Vermont,15-19 years,36,1058474,3.4000000000000004
I Leukemia,Vermont,5-9 years,49,803641,6.1000000000000005
I Leukemia,Virginia,1-4 years,735,9152502,8.03
I Leukemia,Virginia,10-14 years,328,12010591,2.7300000000000004
I Leukemia,Virginia,15-19 years,316,12414081,2.5500000000000003
I Leukemia,Virginia,5-9 years,422,11544105,3.66
I Leukemia,Virginia,< 1 year,102,2292551,4.45
I Leukemia,Washington,1-4 years,707,7867141,8.99
I Leukemia,Washington,10-14 years,342,10327779,3.3100000000000005
I Leukemia,Washington,15-19 years,335,10378779,3.23
I Leukemia,Washington,5-9 years,401,9996474,4.010000000000001
I Leukemia,Washington,< 1 year,101,1949932,5.18
I Leukemia,West Virginia,1-4 years,136,1851405,7.3500000000000005
I Leukemia,West Virginia,10-14 years,66,2539200,2.6
I Leukemia,West Virginia,15-19 years,75,2702062,2.7800000000000002
I Leukemia,West Virginia,5-9 years,97,2397871,4.05
I Leukemia,Wisconsin,1-4 years,633,6332140,10
I Leukemia,Wisconsin,10-14 years,291,8870911,3.28
I Leukemia,Wisconsin,15-19 years,280,9269366,3.02
I Leukemia,Wisconsin,5-9 years,311,8309592,3.74
I Leukemia,Wisconsin,< 1 year,87,1547673,5.620000000000001
I Leukemia,Wyoming,1-4 years,47,651740,7.21
I Leukemia,Wyoming,10-14 years,18,861083,2.09
I Leukemia,Wyoming,15-19 years,22,891664,2.47
I Leukemia,Wyoming,5-9 years,36,830117,4.34
I(a) Lymphoid leukemias,Alabama,1-4 years,296,5469476,5.41
I(a) Lymphoid leukemias,Alabama,10-14 years,111,7397945,1.5
I(a) Lymphoid leukemias,Alabama,15-19 years,89,7638677,1.17
I(a) Lymphoid leukemias,Alabama,5-9 years,208,7009562,2.97
I(a) Lymphoid leukemias,Alabama,< 1 year,18,1361419,1.32
I(a) Lymphoid leukemias,Alaska,1-4 years,79,937213,8.43
I(a) Lymphoid leukemias,Alaska,10-14 years,17,1209026,1.4100000000000001
I(a) Lymphoid leukemias,Alaska,15-19 years,19,1168656,1.6300000000000001
I(a) Lymphoid leukemias,Alaska,5-9 years,33,1166606,2.83
I(a) Lymphoid leukemias,Arizona,1-4 years,650,7848058,8.28
I(a) Lymphoid leukemias,Arizona,10-14 years,263,10094587,2.6100000000000003
I(a) Lymphoid leukemias,Arizona,15-19 years,192,10095459,1.9000000000000001
I(a) Lymphoid leukemias,Arizona,5-9 years,351,9792522,3.58
I(a) Lymphoid leukemias,Arizona,< 1 year,29,1945031,1.4900000000000002
I(a) Lymphoid leukemias,Arkansas,1-4 years,228,3472397,6.57
I(a) Lymphoid leukemias,Arkansas,10-14 years,87,4554311,1.9100000000000001
I(a) Lymphoid leukemias,Arkansas,15-19 years,63,4612721,1.37
I(a) Lymphoid leukemias,Arkansas,5-9 years,121,4395513,2.75
I(a) Lymphoid leukemias,California,1-4 years,3922,45553226,8.61
I(a) Lymphoid leukemias,California,10-14 years,1585,60367276,2.6300000000000003
I(a) Lymphoid leukemias,California,15-19 years,1356,60988865,2.22
I(a) Lymphoid leukemias,California,5-9 years,2367,57817061,4.09
I(a) Lymphoid leukemias,California,< 1 year,245,11344110,2.16
I(a) Lymphoid leukemias,Colorado,1-4 years,456,6020046,7.57
I(a) Lymphoid leukemias,Colorado,10-14 years,157,7841777,2
I(a) Lymphoid leukemias,Colorado,15-19 years,145,7910284,1.83
I(a) Lymphoid leukemias,Colorado,5-9 years,279,7622280,3.66
I(a) Lymphoid leukemias,Colorado,< 1 year,25,1492902,1.67
I(a) Lymphoid leukemias,Connecticut,1-4 years,280,3732294,7.5
I(a) Lymphoid leukemias,Connecticut,10-14 years,123,5495849,2.2399999999999998
I(a) Lymphoid leukemias,Connecticut,15-19 years,96,5663881,1.69
I(a) Lymphoid leukemias,Connecticut,5-9 years,141,5050886,2.79
I(a) Lymphoid leukemias,Delaware,1-4 years,73,1000685,7.300000000000001
I(a) Lymphoid leukemias,Delaware,10-14 years,25,1333659,1.87
I(a) Lymphoid leukemias,Delaware,15-19 years,19,1411125,1.35
I(a) Lymphoid leukemias,Delaware,5-9 years,51,1272824,4.010000000000001
I(a) Lymphoid leukemias,District of Columbia,1-4 years,39,655965,5.95
I(a) Lymphoid leukemias,District of Columbia,5-9 years,20,711036,2.8100000000000005
I(a) Lymphoid leukemias,Florida,1-4 years,1529,19531010,7.83
I(a) Lymphoid leukemias,Florida,10-14 years,526,26464457,1.99
I(a) Lymphoid leukemias,Florida,15-19 years,498,27141887,1.83
I(a) Lymphoid leukemias,Florida,5-9 years,858,24853995,3.45
I(a) Lymphoid leukemias,Florida,< 1 year,96,4872286,1.97
I(a) Lymphoid leukemias,Georgia,1-4 years,726,12030233,6.03
I(a) Lymphoid leukemias,Georgia,10-14 years,292,15873183,1.8399999999999999
I(a) Lymphoid leukemias,Georgia,15-19 years,236,15860044,1.4900000000000002
I(a) Lymphoid leukemias,Georgia,5-9 years,452,15251004,2.9600000000000004
I(a) Lymphoid leukemias,Georgia,< 1 year,56,2996855,1.87
I(a) Lymphoid leukemias,Hawaii,1-4 years,112,1581086,7.08
I(a) Lymphoid leukemias,Hawaii,10-14 years,42,1938369,2.17
I(a) Lymphoid leukemias,Hawaii,15-19 years,21,1897963,1.11
I(a) Lymphoid leukemias,Hawaii,5-9 years,60,1924686,3.12
I(a) Lymphoid leukemias,Idaho,1-4 years,154,2064110,7.46
I(a) Lymphoid leukemias,Idaho,10-14 years,57,2734366,2.08
I(a) Lymphoid leukemias,Idaho,15-19 years,48,2784229,1.72
I(a) Lymphoid leukemias,Idaho,5-9 years,88,2642295,3.33
I(a) Lymphoid leukemias,Illinois,1-4 years,1144,15118124,7.57
I(a) Lymphoid leukemias,Illinois,10-14 years,437,20314300,2.15
I(a) Lymphoid leukemias,Illinois,15-19 years,379,20552912,1.8399999999999999
I(a) Lymphoid leukemias,Illinois,5-9 years,733,19386015,3.78
I(a) Lymphoid leukemias,Illinois,< 1 year,67,3722515,1.8
I(a) Lymphoid leukemias,Indiana,1-4 years,501,7153917,7
I(a) Lymphoid leukemias,Indiana,10-14 years,187,9533841,1.9600000000000002
I(a) Lymphoid leukemias,Indiana,15-19 years,141,9778770,1.4400000000000002
I(a) Lymphoid leukemias,Indiana,5-9 years,304,9181922,3.3100000000000005
I(a) Lymphoid leukemias,Indiana,< 1 year,43,1766128,2.43
I(a) Lymphoid leukemias,Iowa,1-4 years,286,3575940,8
I(a) Lymphoid leukemias,Iowa,10-14 years,80,4785289,1.67
I(a) Lymphoid leukemias,Iowa,15-19 years,68,5091669,1.34
I(a) Lymphoid leukemias,Iowa,5-9 years,149,4589946,3.25
I(a) Lymphoid leukemias,Kansas,1-4 years,281,3564818,7.88
I(a) Lymphoid leukemias,Kansas,10-14 years,72,4648026,1.55
I(a) Lymphoid leukemias,Kansas,15-19 years,65,4781351,1.36
I(a) Lymphoid leukemias,Kansas,5-9 years,148,4528480,3.2700000000000005
I(a) Lymphoid leukemias,Kansas,< 1 year,19,883860,2.15
I(a) Lymphoid leukemias,Kentucky,1-4 years,406,5029496,8.07
I(a) Lymphoid leukemias,Kentucky,10-14 years,104,6602154,1.58
I(a) Lymphoid leukemias,Kentucky,15-19 years,89,6699792,1.33
I(a) Lymphoid leukemias,Kentucky,5-9 years,192,6386273,3.0100000000000002
I(a) Lymphoid leukemias,Kentucky,< 1 year,28,1256613,2.23
I(a) Lymphoid leukemias,Louisiana,1-4 years,337,5667613,5.95
I(a) Lymphoid leukemias,Louisiana,10-14 years,131,7362307,1.7800000000000002
I(a) Lymphoid leukemias,Louisiana,15-19 years,99,7540189,1.31
I(a) Lymphoid leukemias,Louisiana,5-9 years,178,7096224,2.5100000000000002
I(a) Lymphoid leukemias,Louisiana,< 1 year,26,1419731,1.83
I(a) Lymphoid leukemias,Maine,1-4 years,106,1254194,8.450000000000001
I(a) Lymphoid leukemias,Maine,10-14 years,37,1881419,1.97
I(a) Lymphoid leukemias,Maine,15-19 years,30,2008427,1.4900000000000002
I(a) Lymphoid leukemias,Maine,5-9 years,72,1698544,4.24
I(a) Lymphoid leukemias,Maryland,1-4 years,389,6696858,5.8100000000000005
I(a) Lymphoid leukemias,Maryland,10-14 years,166,9029000,1.8399999999999999
I(a) Lymphoid leukemias,Maryland,15-19 years,109,9046383,1.2000000000000002
I(a) Lymphoid leukemias,Maryland,5-9 years,248,8544521,2.9000000000000004
I(a) Lymphoid leukemias,Maryland,< 1 year,23,1667470,1.3800000000000001
I(a) Lymphoid leukemias,Massachusetts,1-4 years,546,6855880,7.96
I(a) Lymphoid leukemias,Massachusetts,10-14 years,179,9547360,1.87
I(a) Lymphoid leukemias,Massachusetts,15-19 years,146,10537941,1.3900000000000001
I(a) Lymphoid leukemias,Massachusetts,5-9 years,281,8944247,3.14
I(a) Lymphoid leukemias,Massachusetts,< 1 year,45,1695265,2.6500000000000004
I(a) Lymphoid leukemias,Michigan,1-4 years,796,11239256,7.08
I(a) Lymphoid leukemias,Michigan,10-14 years,270,15899361,1.7000000000000002
I(a) Lymphoid leukemias,Michigan,15-19 years,221,16468910,1.34
I(a) Lymphoid leukemias,Michigan,5-9 years,475,14824040,3.2
I(a) Lymphoid leukemias,Michigan,< 1 year,47,2723190,1.7300000000000002
I(a) Lymphoid leukemias,Minnesota,1-4 years,494,6364337,7.76
I(a) Lymphoid leukemias,Minnesota,10-14 years,152,8473091,1.79
I(a) Lymphoid leukemias,Minnesota,15-19 years,149,8600532,1.7300000000000002
I(a) Lymphoid leukemias,Minnesota,5-9 years,285,8134262,3.5
I(a) Lymphoid leukemias,Minnesota,< 1 year,26,1570360,1.6600000000000001
I(a) Lymphoid leukemias,Mississippi,1-4 years,163,2996593,5.44
I(a) Lymphoid leukemias,Mississippi,10-14 years,69,4000675,1.72
I(a) Lymphoid leukemias,Mississippi,15-19 years,48,4133405,1.16
I(a) Lymphoid leukemias,Mississippi,5-9 years,105,3796934,2.77
I(a) Lymphoid leukemias,Mississippi,< 1 year,16,741996,2.16
I(a) Lymphoid leukemias,Missouri,1-4 years,493,6903905,7.140000000000001
I(a) Lymphoid leukemias,Missouri,10-14 years,149,9282197,1.6100000000000003
I(a) Lymphoid leukemias,Missouri,15-19 years,120,9524258,1.26
I(a) Lymphoid leukemias,Missouri,5-9 years,255,8840403,2.8800000000000003
I(a) Lymphoid leukemias,Missouri,< 1 year,17,1715710,0.9900000000000001
I(a) Lymphoid leukemias,Montana,1-4 years,78,1092655,7.140000000000001
I(a) Lymphoid leukemias,Montana,10-14 years,34,1497266,2.27
I(a) Lymphoid leukemias,Montana,15-19 years,20,1575496,1.27
I(a) Lymphoid leukemias,Montana,5-9 years,43,1411941,3.0500000000000003
I(a) Lymphoid leukemias,Nebraska,1-4 years,165,2342070,7.050000000000001
I(a) Lymphoid leukemias,Nebraska,10-14 years,55,2984179,1.8399999999999999
I(a) Lymphoid leukemias,Nebraska,15-19 years,55,3070717,1.79
I(a) Lymphoid leukemias,Nebraska,5-9 years,86,2921459,2.94
I(a) Lymphoid leukemias,Nevada,1-4 years,264,3221928,8.190000000000001
I(a) Lymphoid leukemias,Nevada,10-14 years,82,4107600,2
I(a) Lymphoid leukemias,Nevada,15-19 years,88,3865198,2.2800000000000002
I(a) Lymphoid leukemias,Nevada,5-9 years,146,4022790,3.63
I(a) Lymphoid leukemias,Nevada,< 1 year,16,797109,2.0100000000000002
I(a) Lymphoid leukemias,New Hampshire,1-4 years,100,1293526,7.73
I(a) Lymphoid leukemias,New Hampshire,10-14 years,47,1973487,2.3800000000000003
I(a) Lymphoid leukemias,New Hampshire,15-19 years,33,2108547,1.57
I(a) Lymphoid leukemias,New Hampshire,5-9 years,55,1771669,3.1
I(a) Lymphoid leukemias,New Jersey,1-4 years,765,10070580,7.6000000000000005
I(a) Lymphoid leukemias,New Jersey,10-14 years,324,13700943,2.3600000000000003
I(a) Lymphoid leukemias,New Jersey,15-19 years,229,13405538,1.7100000000000002
I(a) Lymphoid leukemias,New Jersey,5-9 years,472,13015487,3.63
I(a) Lymphoid leukemias,New Jersey,< 1 year,53,2461972,2.15
I(a) Lymphoid leukemias,New Mexico,1-4 years,193,2458592,7.8500000000000005
I(a) Lymphoid leukemias,New Mexico,10-14 years,90,3311369,2.72
I(a) Lymphoid leukemias,New Mexico,15-19 years,67,3384754,1.9800000000000002
I(a) Lymphoid leukemias,New Mexico,5-9 years,132,3143697,4.2
I(a) Lymphoid leukemias,New Mexico,< 1 year,16,606097,2.64
I(a) Lymphoid leukemias,New York,1-4 years,1557,21659417,7.190000000000001
I(a) Lymphoid leukemias,New York,10-14 years,564,28734343,1.9600000000000002
I(a) Lymphoid leukemias,New York,15-19 years,506,30230461,1.67
I(a) Lymphoid leukemias,New York,5-9 years,935,27394347,3.41
I(a) Lymphoid leukemias,New York,< 1 year,94,5499284,1.7100000000000002
I(a) Lymphoid leukemias,North Carolina,1-4 years,739,10909376,6.7700000000000005
I(a) Lymphoid leukemias,North Carolina,10-14 years,302,14407853,2.1
I(a) Lymphoid leukemias,North Carolina,15-19 years,194,14736669,1.32
I(a) Lymphoid leukemias,North Carolina,5-9 years,450,13869469,3.24
I(a) Lymphoid leukemias,North Carolina,< 1 year,56,2726561,2.0500000000000003
I(a) Lymphoid leukemias,North Dakota,1-4 years,59,836898,7.050000000000001
I(a) Lymphoid leukemias,North Dakota,10-14 years,27,1030719,2.62
I(a) Lymphoid leukemias,North Dakota,15-19 years,21,1168114,1.8
I(a) Lymphoid leukemias,North Dakota,5-9 years,35,1017872,3.44
I(a) Lymphoid leukemias,Ohio,1-4 years,937,13214951,7.090000000000001
I(a) Lymphoid leukemias,Ohio,10-14 years,337,18150108,1.8600000000000003
I(a) Lymphoid leukemias,Ohio,15-19 years,286,18587275,1.54
I(a) Lymphoid leukemias,Ohio,5-9 years,501,17175827,2.92
I(a) Lymphoid leukemias,Ohio,< 1 year,54,3238172,1.67
I(a) Lymphoid leukemias,Oklahoma,1-4 years,322,4644900,6.93
I(a) Lymphoid leukemias,Oklahoma,10-14 years,110,5972495,1.8399999999999999
I(a) Lymphoid leukemias,Oklahoma,15-19 years,107,6135620,1.74
I(a) Lymphoid leukemias,Oklahoma,5-9 years,219,5843456,3.75
I(a) Lymphoid leukemias,Oklahoma,< 1 year,20,1160149,1.72
I(a) Lymphoid leukemias,Oregon,1-4 years,368,4209979,8.74
I(a) Lymphoid leukemias,Oregon,10-14 years,121,5655555,2.14
I(a) Lymphoid leukemias,Oregon,15-19 years,99,5791934,1.7100000000000002
