cancer_site,state,race,count,population,crude_rate_100k,crude_rate_per_100k
I(b) Acute myeloid leukemias,Alabama,White,133,19025293,0.7000000000000001,0.7
I(c) Chronic myeloproliferative diseases,Alabama,White,86,19025293,0.45,0.45
I(e) Unspecified and other specified leukemias,Alabama,White,21,19025293,0.11000000000000001,0.11
II Lymphoma and reticuloendothelial neoplasms,Alabama,White,462,19025293,2.43,2.43
II(a) Hodgkin lymphomas,Alabama,White,217,19025293,1.1400000000000001,1.14
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Alabama,White,165,19025293,0.87,0.87
II(c) Burkitt lymphoma,Alabama,White,48,19025293,0.25,0.25
II(d) Miscellaneous lymphoreticular neoplasms,Alabama,White,25,19025293,0.13,0.13
III CNS and misc intracranial and intraspinal neoplasms,Alabama,White,637,19025293,3.35,3.35
III(a) Ependymomas and choroid plexus tumor,Alabama,White,54,19025293,0.27999999999999997,0.28
III(b) Astrocytomas,Alabama,White,299,19025293,1.57,1.57
III(c) Intracranial and intraspinal embryonal tumors,Alabama,White,107,19025293,0.5599999999999999,0.56
III(d) Other gliomas,Alabama,White,94,19025293,0.49000000000000005,0.49
III(f) Unspecified intracranial and intraspinal neoplasms,Alabama,White,68,19025293,0.36000000000000004,0.36
IV Sympathetic nervous system tumors,Alabama,White,162,19025293,0.8500000000000001,0.85
IV(a) Neuroblastoma and ganglioneuroblastoma,Alabama,White,159,19025293,0.8400000000000001,0.84
V Retinoblastoma,Alabama,White,43,19025293,0.22999999999999998,0.23
VI Renal tumors,Alabama,White,134,19025293,0.7000000000000001,0.7
VI(a) Nephroblastoma and other nonepithelial renal tumors,Alabama,White,117,19025293,0.61,0.61
VII Hepatic tumor,Alabama,White,39,19025293,0.2,0.2
VII(a) Hepatoblastoma,Alabama,White,26,19025293,0.13999999999999999,0.14
VIII Malignant bone tumors,Alabama,White,137,19025293,0.7200000000000001,0.72
VIII(a) Osteosarcomas,Alabama,White,65,19025293,0.34,0.34
VIII(c) Ewing tumor and related sarcomas of bone,Alabama,White,50,19025293,0.26,0.26
IX Soft-tissue sarcomas,Alabama,White,221,19025293,1.16,1.16
IX(a) Rhabdomyosarcomas,Alabama,White,77,19025293,0.4,0.4
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",Alabama,White,16,19025293,0.08000000000000002,0.08
IX(d) Other specified soft tissue sarcomas,Alabama,White,89,19025293,0.47000000000000003,0.47
IX(e) Unspecified soft tissue sarcomas,Alabama,White,39,19025293,0.2,0.2
"X Germ-cell, trophoblastic and other gonadal neoplasms",Alabama,White,188,19025293,0.9900000000000001,0.99
X(a) Intracranial & intraspinal germ cell tumors,Alabama,White,24,19025293,0.13,0.13
X(b) Extracranial & extragonadal germ cell tumors,Alabama,White,24,19025293,0.13,0.13
X(c) Malignant gonadal germ cell tumors,Alabama,White,112,19025293,0.5900000000000001,0.59
XI Carcinomas and other malignant epithelial neoplasms,Alabama,White,402,19025293,2.1100000000000003,2.11
XI(b) Thyroid carcinomas,Alabama,White,150,19025293,0.79,0.79
XI(d) Malignant melanomas,Alabama,White,118,19025293,0.6200000000000001,0.62
XI(f) Other and unspecified carcinomas,Alabama,White,114,19025293,0.6000000000000001,0.6
XII Other and unspecified malignant neoplasms,Alabama,White,54,19025293,0.27999999999999997,0.28
XII(b) Other unspecified malignant tumors,Alabama,White,46,19025293,0.24,0.24
I Leukemia,Alaska,American Indian or Alaska Native,76,1083929,7.01,7.01
I(a) Lymphoid leukemias,Alaska,American Indian or Alaska Native,46,1083929,4.24,4.24
I(b) Acute myeloid leukemias,Alaska,American Indian or Alaska Native,18,1083929,1.6600000000000001,1.66
II Lymphoma and reticuloendothelial neoplasms,Alaska,American Indian or Alaska Native,35,1083929,3.23,3.23
III CNS and misc intracranial and intraspinal neoplasms,Alaska,American Indian or Alaska Native,38,1083929,3.5100000000000002,3.51
III(b) Astrocytomas,Alaska,American Indian or Alaska Native,20,1083929,1.85,1.85
XI Carcinomas and other malignant epithelial neoplasms,Alaska,American Indian or Alaska Native,25,1083929,2.31,2.31
I Leukemia,Alaska,Asian or Pacific Islander,21,366079,5.74,5.74
I Leukemia,Alaska,White,124,2986126,4.15,4.15
I(a) Lymphoid leukemias,Alaska,White,91,2986126,3.0500000000000003,3.05
I(b) Acute myeloid leukemias,Alaska,White,19,2986126,0.6400000000000001,0.64
II Lymphoma and reticuloendothelial neoplasms,Alaska,White,69,2986126,2.31,2.31
II(a) Hodgkin lymphomas,Alaska,White,37,2986126,1.2400000000000002,1.24
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Alaska,White,20,2986126,0.67,0.67
III CNS and misc intracranial and intraspinal neoplasms,Alaska,White,72,2986126,2.41,2.41
III(b) Astrocytomas,Alaska,White,37,2986126,1.2400000000000002,1.24
III(c) Intracranial and intraspinal embryonal tumors,Alaska,White,16,2986126,0.54,0.54
IV Sympathetic nervous system tumors,Alaska,White,27,2986126,0.9,0.9
IV(a) Neuroblastoma and ganglioneuroblastoma,Alaska,White,26,2986126,0.87,0.87
VI Renal tumors,Alaska,White,22,2986126,0.7400000000000001,0.74
VI(a) Nephroblastoma and other nonepithelial renal tumors,Alaska,White,22,2986126,0.7400000000000001,0.74
VIII Malignant bone tumors,Alaska,White,21,2986126,0.7000000000000001,0.7
IX Soft-tissue sarcomas,Alaska,White,38,2986126,1.27,1.27
IX(a) Rhabdomyosarcomas,Alaska,White,20,2986126,0.67,0.67
"X Germ-cell, trophoblastic and other gonadal neoplasms",Alaska,White,30,2986126,1,1
X(c) Malignant gonadal germ cell tumors,Alaska,White,21,2986126,0.7000000000000001,0.7
XI Carcinomas and other malignant epithelial neoplasms,Alaska,White,47,2986126,1.57,1.57
XI(b) Thyroid carcinomas,Alaska,White,26,2986126,0.87,0.87
I Leukemia,Arizona,American Indian or Alaska Native,137,3065260,4.470000000000001,4.47
I(a) Lymphoid leukemias,Arizona,American Indian or Alaska Native,104,3065260,3.39,3.39
I(b) Acute myeloid leukemias,Arizona,American Indian or Alaska Native,23,3065260,0.75,0.75
II Lymphoma and reticuloendothelial neoplasms,Arizona,American Indian or Alaska Native,31,3065260,1.01,1.01
III CNS and misc intracranial and intraspinal neoplasms,Arizona,American Indian or Alaska Native,64,3065260,2.09,2.09
III(b) Astrocytomas,Arizona,American Indian or Alaska Native,23,3065260,0.75,0.75
III(c) Intracranial and intraspinal embryonal tumors,Arizona,American Indian or Alaska Native,17,3065260,0.55,0.55
VI Renal tumors,Arizona,American Indian or Alaska Native,16,3065260,0.52,0.52
VIII Malignant bone tumors,Arizona,American Indian or Alaska Native,24,3065260,0.78,0.78
VIII(a) Osteosarcomas,Arizona,American Indian or Alaska Native,17,3065260,0.55,0.55
IX Soft-tissue sarcomas,Arizona,American Indian or Alaska Native,34,3065260,1.11,1.11
"X Germ-cell, trophoblastic and other gonadal neoplasms",Arizona,American Indian or Alaska Native,37,3065260,1.21,1.21
X(c) Malignant gonadal germ cell tumors,Arizona,American Indian or Alaska Native,30,3065260,0.9800000000000001,0.98
XI Carcinomas and other malignant epithelial neoplasms,Arizona,American Indian or Alaska Native,30,3065260,0.9800000000000001,0.98
I Leukemia,Arizona,Asian or Pacific Islander,61,1395618,4.37,4.37
I(a) Lymphoid leukemias,Arizona,Asian or Pacific Islander,49,1395618,3.5100000000000002,3.51
II Lymphoma and reticuloendothelial neoplasms,Arizona,Asian or Pacific Islander,22,1395618,1.58,1.58
III CNS and misc intracranial and intraspinal neoplasms,Arizona,Asian or Pacific Islander,23,1395618,1.6500000000000001,1.65
XI Carcinomas and other malignant epithelial neoplasms,Arizona,Asian or Pacific Islander,24,1395618,1.72,1.72
XI(b) Thyroid carcinomas,Arizona,Asian or Pacific Islander,17,1395618,1.22,1.22
I Leukemia,Arizona,Black or African American,58,2546135,2.2800000000000002,2.28
I(a) Lymphoid leukemias,Arizona,Black or African American,37,2546135,1.4500000000000002,1.45
II Lymphoma and reticuloendothelial neoplasms,Arizona,Black or African American,64,2546135,2.5100000000000002,2.51
II(a) Hodgkin lymphomas,Arizona,Black or African American,36,2546135,1.4100000000000001,1.41
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Arizona,Black or African American,22,2546135,0.86,0.86
III CNS and misc intracranial and intraspinal neoplasms,Arizona,Black or African American,47,2546135,1.85,1.85
III(b) Astrocytomas,Arizona,Black or African American,21,2546135,0.82,0.82
VI Renal tumors,Arizona,Black or African American,18,2546135,0.71,0.71
IX Soft-tissue sarcomas,Arizona,Black or African American,20,2546135,0.79,0.79
I Leukemia,Arizona,White,1695,32768644,5.170000000000001,5.17
I(a) Lymphoid leukemias,Arizona,White,1270,32768644,3.88,3.88
I(b) Acute myeloid leukemias,Arizona,White,260,32768644,0.79,0.79
I(c) Chronic myeloproliferative diseases,Arizona,White,72,32768644,0.22000000000000003,0.22
I(d) Myelodysplastic syndrome and other myeloproliferative,Arizona,White,45,32768644,0.13999999999999999,0.14
I(e) Unspecified and other specified leukemias,Arizona,White,48,32768644,0.15000000000000002,0.15
II Lymphoma and reticuloendothelial neoplasms,Arizona,White,812,32768644,2.4800000000000004,2.48
II(a) Hodgkin lymphomas,Arizona,White,339,32768644,1.03,1.03
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Arizona,White,258,32768644,0.79,0.79
II(c) Burkitt lymphoma,Arizona,White,90,32768644,0.27,0.27
II(d) Miscellaneous lymphoreticular neoplasms,Arizona,White,111,32768644,0.34,0.34
III CNS and misc intracranial and intraspinal neoplasms,Arizona,White,1022,32768644,3.12,3.12
III(a) Ependymomas and choroid plexus tumor,Arizona,White,83,32768644,0.25,0.25
III(b) Astrocytomas,Arizona,White,521,32768644,1.59,1.59
III(c) Intracranial and intraspinal embryonal tumors,Arizona,White,216,32768644,0.66,0.66
III(d) Other gliomas,Arizona,White,166,32768644,0.51,0.51
III(e) Other specified intracranial/intraspinal neoplasms,Arizona,White,17,32768644,0.05,0.05
III(f) Unspecified intracranial and intraspinal neoplasms,Arizona,White,19,32768644,0.06,0.06
IV Sympathetic nervous system tumors,Arizona,White,277,32768644,0.8500000000000001,0.85
IV(a) Neuroblastoma and ganglioneuroblastoma,Arizona,White,271,32768644,0.8300000000000001,0.83
V Retinoblastoma,Arizona,White,132,32768644,0.4,0.4
VI Renal tumors,Arizona,White,202,32768644,0.6200000000000001,0.62
VI(a) Nephroblastoma and other nonepithelial renal tumors,Arizona,White,187,32768644,0.5700000000000001,0.57
VII Hepatic tumor,Arizona,White,93,32768644,0.27999999999999997,0.28
VII(a) Hepatoblastoma,Arizona,White,76,32768644,0.22999999999999998,0.23
VII(b) Hepatic carcinomas,Arizona,White,17,32768644,0.05,0.05
VIII Malignant bone tumors,Arizona,White,334,32768644,1.02,1.02
VIII(a) Osteosarcomas,Arizona,White,169,32768644,0.52,0.52
VIII(c) Ewing tumor and related sarcomas of bone,Arizona,White,130,32768644,0.4,0.4
VIII(d) Other specified malignant bone tumors,Arizona,White,21,32768644,0.06,0.06
IX Soft-tissue sarcomas,Arizona,White,337,32768644,1.03,1.03
IX(a) Rhabdomyosarcomas,Arizona,White,125,32768644,0.38,0.38
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",Arizona,White,29,32768644,0.09000000000000001,0.09
IX(d) Other specified soft tissue sarcomas,Arizona,White,139,32768644,0.42000000000000004,0.42
IX(e) Unspecified soft tissue sarcomas,Arizona,White,44,32768644,0.13,0.13
"X Germ-cell, trophoblastic and other gonadal neoplasms",Arizona,White,423,32768644,1.29,1.29
X(a) Intracranial & intraspinal germ cell tumors,Arizona,White,72,32768644,0.22000000000000003,0.22
X(b) Extracranial & extragonadal germ cell tumors,Arizona,White,68,32768644,0.21000000000000002,0.21
X(c) Malignant gonadal germ cell tumors,Arizona,White,259,32768644,0.79,0.79
XI Carcinomas and other malignant epithelial neoplasms,Arizona,White,668,32768644,2.04,2.04
XI(b) Thyroid carcinomas,Arizona,White,304,32768644,0.9300000000000002,0.93
XI(d) Malignant melanomas,Arizona,White,179,32768644,0.55,0.55
XI(f) Other and unspecified carcinomas,Arizona,White,166,32768644,0.51,0.51
XII Other and unspecified malignant neoplasms,Arizona,White,34,32768644,0.1,0.1
XII(a) Other specified malignant tumors,Arizona,White,19,32768644,0.06,0.06
I Leukemia,Arkansas,Black or African American,113,3652900,3.09,3.09
I(a) Lymphoid leukemias,Arkansas,Black or African American,73,3652900,2,2
I(b) Acute myeloid leukemias,Arkansas,Black or African American,28,3652900,0.77,0.77
II Lymphoma and reticuloendothelial neoplasms,Arkansas,Black or African American,101,3652900,2.7600000000000002,2.76
II(a) Hodgkin lymphomas,Arkansas,Black or African American,50,3652900,1.37,1.37
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Arkansas,Black or African American,42,3652900,1.1500000000000001,1.15
III CNS and misc intracranial and intraspinal neoplasms,Arkansas,Black or African American,85,3652900,2.33,2.33
III(b) Astrocytomas,Arkansas,Black or African American,37,3652900,1.01,1.01
III(c) Intracranial and intraspinal embryonal tumors,Arkansas,Black or African American,16,3652900,0.44000000000000006,0.44
III(d) Other gliomas,Arkansas,Black or African American,20,3652900,0.55,0.55
IV Sympathetic nervous system tumors,Arkansas,Black or African American,25,3652900,0.68,0.68
IV(a) Neuroblastoma and ganglioneuroblastoma,Arkansas,Black or African American,25,3652900,0.68,0.68
VI Renal tumors,Arkansas,Black or African American,34,3652900,0.9300000000000002,0.93
VI(a) Nephroblastoma and other nonepithelial renal tumors,Arkansas,Black or African American,29,3652900,0.79,0.79
VIII Malignant bone tumors,Arkansas,Black or African American,21,3652900,0.5700000000000001,0.57
IX Soft-tissue sarcomas,Arkansas,Black or African American,39,3652900,1.07,1.07
"X Germ-cell, trophoblastic and other gonadal neoplasms",Arkansas,Black or African American,23,3652900,0.63,0.63
XI Carcinomas and other malignant epithelial neoplasms,Arkansas,Black or African American,43,3652900,1.1800000000000002,1.18
XI(b) Thyroid carcinomas,Arkansas,Black or African American,16,3652900,0.44000000000000006,0.44
XI(f) Other and unspecified carcinomas,Arkansas,Black or African American,19,3652900,0.52,0.52
I Leukemia,Arkansas,White,572,13700413,4.18,4.18
I(a) Lymphoid leukemias,Arkansas,White,415,13700413,3.0300000000000002,3.03
I(b) Acute myeloid leukemias,Arkansas,White,101,13700413,0.7400000000000001,0.74
I(c) Chronic myeloproliferative diseases,Arkansas,White,29,13700413,0.21000000000000002,0.21
I(d) Myelodysplastic syndrome and other myeloproliferative,Arkansas,White,16,13700413,0.12,0.12
II Lymphoma and reticuloendothelial neoplasms,Arkansas,White,392,13700413,2.8600000000000003,2.86
II(a) Hodgkin lymphomas,Arkansas,White,174,13700413,1.27,1.27
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Arkansas,White,146,13700413,1.07,1.07
II(c) Burkitt lymphoma,Arkansas,White,29,13700413,0.21000000000000002,0.21
II(d) Miscellaneous lymphoreticular neoplasms,Arkansas,White,37,13700413,0.27,0.27
III CNS and misc intracranial and intraspinal neoplasms,Arkansas,White,430,13700413,3.14,3.14
III(a) Ependymomas and choroid plexus tumor,Arkansas,White,23,13700413,0.17,0.17
III(b) Astrocytomas,Arkansas,White,228,13700413,1.6600000000000001,1.66
III(c) Intracranial and intraspinal embryonal tumors,Arkansas,White,86,13700413,0.63,0.63
III(d) Other gliomas,Arkansas,White,70,13700413,0.51,0.51
IV Sympathetic nervous system tumors,Arkansas,White,124,13700413,0.91,0.91
IV(a) Neuroblastoma and ganglioneuroblastoma,Arkansas,White,119,13700413,0.87,0.87
V Retinoblastoma,Arkansas,White,34,13700413,0.25,0.25
VI Renal tumors,Arkansas,White,78,13700413,0.5700000000000001,0.57
VI(a) Nephroblastoma and other nonepithelial renal tumors,Arkansas,White,73,13700413,0.53,0.53
VII Hepatic tumor,Arkansas,White,28,13700413,0.2,0.2
VII(a) Hepatoblastoma,Arkansas,White,23,13700413,0.17,0.17
VIII Malignant bone tumors,Arkansas,White,114,13700413,0.8300000000000001,0.83
VIII(a) Osteosarcomas,Arkansas,White,51,13700413,0.37000000000000005,0.37
VIII(c) Ewing tumor and related sarcomas of bone,Arkansas,White,50,13700413,0.36000000000000004,0.36
IX Soft-tissue sarcomas,Arkansas,White,157,13700413,1.1500000000000001,1.15
IX(a) Rhabdomyosarcomas,Arkansas,White,57,13700413,0.42000000000000004,0.42
IX(d) Other specified soft tissue sarcomas,Arkansas,White,63,13700413,0.45999999999999996,0.46
IX(e) Unspecified soft tissue sarcomas,Arkansas,White,23,13700413,0.17,0.17
"X Germ-cell, trophoblastic and other gonadal neoplasms",Arkansas,White,125,13700413,0.91,0.91
X(a) Intracranial & intraspinal germ cell tumors,Arkansas,White,20,13700413,0.15000000000000002,0.15
X(b) Extracranial & extragonadal germ cell tumors,Arkansas,White,16,13700413,0.12,0.12
X(c) Malignant gonadal germ cell tumors,Arkansas,White,78,13700413,0.5700000000000001,0.57
XI Carcinomas and other malignant epithelial neoplasms,Arkansas,White,233,13700413,1.7000000000000002,1.7
XI(b) Thyroid carcinomas,Arkansas,White,107,13700413,0.78,0.78
XI(d) Malignant melanomas,Arkansas,White,55,13700413,0.4,0.4
XI(f) Other and unspecified carcinomas,Arkansas,White,57,13700413,0.42000000000000004,0.42
I Leukemia,California,American Indian or Alaska Native,91,5183908,1.7600000000000002,1.76
I(a) Lymphoid leukemias,California,American Indian or Alaska Native,73,5183908,1.4100000000000001,1.41
II Lymphoma and reticuloendothelial neoplasms,California,American Indian or Alaska Native,34,5183908,0.66,0.66
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),California,American Indian or Alaska Native,17,5183908,0.33,0.33
III CNS and misc intracranial and intraspinal neoplasms,California,American Indian or Alaska Native,41,5183908,0.79,0.79
III(b) Astrocytomas,California,American Indian or Alaska Native,19,5183908,0.37000000000000005,0.37
IX Soft-tissue sarcomas,California,American Indian or Alaska Native,30,5183908,0.58,0.58
"X Germ-cell, trophoblastic and other gonadal neoplasms",California,American Indian or Alaska Native,25,5183908,0.48,0.48
X(c) Malignant gonadal germ cell tumors,California,American Indian or Alaska Native,22,5183908,0.42000000000000004,0.42
XI Carcinomas and other malignant epithelial neoplasms,California,American Indian or Alaska Native,30,5183908,0.58,0.58
I Leukemia,California,Asian or Pacific Islander,1357,31725786,4.28,4.28
I(a) Lymphoid leukemias,California,Asian or Pacific Islander,924,31725786,2.91,2.91
I(b) Acute myeloid leukemias,California,Asian or Pacific Islander,295,31725786,0.9300000000000002,0.93
I(c) Chronic myeloproliferative diseases,California,Asian or Pacific Islander,74,31725786,0.22999999999999998,0.23
I(d) Myelodysplastic syndrome and other myeloproliferative,California,Asian or Pacific Islander,44,31725786,0.13999999999999999,0.14
I(e) Unspecified and other specified leukemias,California,Asian or Pacific Islander,20,31725786,0.06,0.06
II Lymphoma and reticuloendothelial neoplasms,California,Asian or Pacific Islander,709,31725786,2.23,2.23
II(a) Hodgkin lymphomas,California,Asian or Pacific Islander,230,31725786,0.7200000000000001,0.72
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),California,Asian or Pacific Islander,311,31725786,0.9800000000000001,0.98
II(c) Burkitt lymphoma,California,Asian or Pacific Islander,74,31725786,0.22999999999999998,0.23
II(d) Miscellaneous lymphoreticular neoplasms,California,Asian or Pacific Islander,85,31725786,0.27,0.27
III CNS and misc intracranial and intraspinal neoplasms,California,Asian or Pacific Islander,631,31725786,1.99,1.99
III(a) Ependymomas and choroid plexus tumor,California,Asian or Pacific Islander,58,31725786,0.18000000000000002,0.18
III(b) Astrocytomas,California,Asian or Pacific Islander,283,31725786,0.8900000000000001,0.89
III(c) Intracranial and intraspinal embryonal tumors,California,Asian or Pacific Islander,160,31725786,0.5,0.5
III(d) Other gliomas,California,Asian or Pacific Islander,114,31725786,0.36000000000000004,0.36
IV Sympathetic nervous system tumors,California,Asian or Pacific Islander,198,31725786,0.6200000000000001,0.62
IV(a) Neuroblastoma and ganglioneuroblastoma,California,Asian or Pacific Islander,194,31725786,0.61,0.61
V Retinoblastoma,California,Asian or Pacific Islander,97,31725786,0.31000000000000005,0.31
VI Renal tumors,California,Asian or Pacific Islander,113,31725786,0.36000000000000004,0.36
VI(a) Nephroblastoma and other nonepithelial renal tumors,California,Asian or Pacific Islander,98,31725786,0.31000000000000005,0.31
VII Hepatic tumor,California,Asian or Pacific Islander,101,31725786,0.32000000000000006,0.32
VII(a) Hepatoblastoma,California,Asian or Pacific Islander,82,31725786,0.26,0.26
VII(b) Hepatic carcinomas,California,Asian or Pacific Islander,19,31725786,0.06,0.06
VIII Malignant bone tumors,California,Asian or Pacific Islander,224,31725786,0.71,0.71
VIII(a) Osteosarcomas,California,Asian or Pacific Islander,143,31725786,0.45,0.45
VIII(c) Ewing tumor and related sarcomas of bone,California,Asian or Pacific Islander,53,31725786,0.17,0.17
VIII(d) Other specified malignant bone tumors,California,Asian or Pacific Islander,19,31725786,0.06,0.06
IX Soft-tissue sarcomas,California,Asian or Pacific Islander,267,31725786,0.8400000000000001,0.84
IX(a) Rhabdomyosarcomas,California,Asian or Pacific Islander,109,31725786,0.34,0.34
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",California,Asian or Pacific Islander,27,31725786,0.09000000000000001,0.09
IX(d) Other specified soft tissue sarcomas,California,Asian or Pacific Islander,100,31725786,0.32000000000000006,0.32
IX(e) Unspecified soft tissue sarcomas,California,Asian or Pacific Islander,31,31725786,0.1,0.1
"X Germ-cell, trophoblastic and other gonadal neoplasms",California,Asian or Pacific Islander,356,31725786,1.1199999999999999,1.12
X(a) Intracranial & intraspinal germ cell tumors,California,Asian or Pacific Islander,121,31725786,0.38,0.38
X(b) Extracranial & extragonadal germ cell tumors,California,Asian or Pacific Islander,62,31725786,0.2,0.2
X(c) Malignant gonadal germ cell tumors,California,Asian or Pacific Islander,153,31725786,0.48,0.48
X(d) Gonadal carcinomas,California,Asian or Pacific Islander,17,31725786,0.05,0.05
XI Carcinomas and other malignant epithelial neoplasms,California,Asian or Pacific Islander,465,31725786,1.47,1.47
XI(b) Thyroid carcinomas,California,Asian or Pacific Islander,276,31725786,0.87,0.87
XI(c) Nasopharyngeal carcinomas,California,Asian or Pacific Islander,23,31725786,0.06999999999999999,0.07
XI(d) Malignant melanomas,California,Asian or Pacific Islander,37,31725786,0.12,0.12
XI(f) Other and unspecified carcinomas,California,Asian or Pacific Islander,122,31725786,0.38,0.38
I Leukemia,California,Black or African American,571,19398956,2.94,2.94
I(a) Lymphoid leukemias,California,Black or African American,353,19398956,1.82,1.82
I(b) Acute myeloid leukemias,California,Black or African American,144,19398956,0.7400000000000001,0.74
I(c) Chronic myeloproliferative diseases,California,Black or African American,35,19398956,0.18000000000000002,0.18
I(d) Myelodysplastic syndrome and other myeloproliferative,California,Black or African American,16,19398956,0.08000000000000002,0.08
I(e) Unspecified and other specified leukemias,California,Black or African American,23,19398956,0.12,0.12
II Lymphoma and reticuloendothelial neoplasms,California,Black or African American,402,19398956,2.07,2.07
II(a) Hodgkin lymphomas,California,Black or African American,190,19398956,0.9800000000000001,0.98
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),California,Black or African American,164,19398956,0.8500000000000001,0.85
II(c) Burkitt lymphoma,California,Black or African American,21,19398956,0.11000000000000001,0.11
II(d) Miscellaneous lymphoreticular neoplasms,California,Black or African American,22,19398956,0.11000000000000001,0.11
III CNS and misc intracranial and intraspinal neoplasms,California,Black or African American,408,19398956,2.1,2.1
III(a) Ependymomas and choroid plexus tumor,California,Black or African American,45,19398956,0.22999999999999998,0.23
III(b) Astrocytomas,California,Black or African American,185,19398956,0.9500000000000001,0.95
III(c) Intracranial and intraspinal embryonal tumors,California,Black or African American,80,19398956,0.41,0.41
III(d) Other gliomas,California,Black or African American,83,19398956,0.43,0.43
IV Sympathetic nervous system tumors,California,Black or African American,125,19398956,0.6400000000000001,0.64
IV(a) Neuroblastoma and ganglioneuroblastoma,California,Black or African American,122,19398956,0.63,0.63
V Retinoblastoma,California,Black or African American,53,19398956,0.27,0.27
VI Renal tumors,California,Black or African American,141,19398956,0.73,0.73
VI(a) Nephroblastoma and other nonepithelial renal tumors,California,Black or African American,125,19398956,0.6400000000000001,0.64
VI(b) Renal carcinomas,California,Black or African American,16,19398956,0.08000000000000002,0.08
VII Hepatic tumor,California,Black or African American,32,19398956,0.16000000000000003,0.16
VII(a) Hepatoblastoma,California,Black or African American,24,19398956,0.12,0.12
VIII Malignant bone tumors,California,Black or African American,149,19398956,0.77,0.77
VIII(a) Osteosarcomas,California,Black or African American,122,19398956,0.63,0.63
